Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	bl[150]	bl[151]	bl[152]	bl[153]	bl[154]	bl[155]	bl[156]	bl[157]	bl[158]	bl[159]	bl[160]	bl[161]	bl[162]	bl[163]	bl[164]	bl[165]	bl[166]	bl[167]	bl[168]	bl[169]	bl[170]	bl[171]	bl[172]	bl[173]	bl[174]	bl[175]	bl[176]	bl[177]	bl[178]	bl[179]	bl[180]	bl[181]	bl[182]	bl[183]	bl[184]	bl[185]	bl[186]	bl[187]	bl[188]	bl[189]	bl[190]	bl[191]	bl[192]	bl[193]	bl[194]	bl[195]	bl[196]	bl[197]	bl[198]	bl[199]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1786978	-1786823	-154.5924	0.0126987	0.00161844	0.00889727	0.0711359	0.00276157	0.0373645	0.0993817	0.0852559	0.109266	0.0254216	0.139056	0.0211148	0.255939	0.385785	0.157612	0.0263856	0.0434999	0.143431	0.207275	0.0172507	0.0617561	0.046387	0.0845013	0.209501	0.0373254	0.0550067	0.0291641	0.0230671	0.186397	0.133521	0.126096	0.00642437	0.0619628	0.0770891	0.0246367	0.0429668	0.0672234	0.0822589	0.316455	0.0269968	0.117674	0.24805	0.0642212	0.0713007	0.201744	0.0621476	0.0481798	0.14457	0.00952139	0.172445	0.230186	0.0542907	0.0290693	0.0143846	0.0355812	0.0255069	0.121765	0.235752	0.0118017	0.126404	0.0289499	0.118048	0.0229874	0.446226	0.344566	0.361792	0.131471	0.0163627	0.0491048	0.079472	0.154566	0.233889	0.197884	0.0133867	0.150403	0.0133502	0.200539	0.052127	0.0550252	0.0408478	0.113602	0.255559	0.0138662	0.0136207	0.0368351	0.0381745	0.0379004	0.107379	0.0799767	0.0489307	0.132885	0.0287967	0.324189	0.0231423	0.114825	0.0387072	0.0398612	0.102631	0.0384891	0.018145	0.405628	0.0875972	0.0573991	0.0338078	0.031354	0.186993	0.0275653	0.000137751	0.00974916	0.162994	0.05362	0.204499	0.108589	0.295538	0.0171005	0.144322	0.16033	0.0357471	0.0328268	0.0728739	0.208409	0.252236	0.0710403	0.00949604	0.0946892	0.0719535	0.0362758	0.0118421	0.170309	0.192225	0.11646	0.181828	0.177362	0.00981116	0.0441197	0.397319	0.214034	0.0861681	0.0131905	0.0141755	0.046227	0.153458	0.276883	0.00155185	0.183658	0.0621017	0.0398054	0.213578	0.248	0.244473	0.0457111	0.0902202	0.000539969	0.00760191	0.0106222	0.0140345	0.070507	0.300858	0.056564	0.147498	0.0164381	0.0108927	0.0135216	0.174966	0.0527975	0.0130715	0.0169626	0.00590722	0.116951	0.173945	0.0463279	0.0749103	0.375228	0.0901471	0.139613	0.0697683	0.0386194	0.121911	0.0382121	0.0521454	0.0249761	0.0887792	0.165701	0.0978253	0.200245	0.0997928	0.0388323	0.189957	0.0764872	0.158028	0.0523618	0.000585072	0.00750303	0.122362	0.00548828	0.0539217	0.00429107	0.289016	0.0514762	0.303589	0.279695	0.178415	0.0252044	0.0324541	0.180642	0.0190979	0.403438	0.224619	0.352844	19.97847
10	-873918.6	-873834.9	-83.69077	0.0356479	0.00585567	0.0193987	0.0414147	0.00391886	0.115747	0.102097	0.175849	0.0885378	0.0510883	0.160181	0.0827357	0.122049	0.0990593	0.0688087	0.0764697	0.0660263	0.0766141	0.120436	0.0647432	0.0806287	0.060065	0.160067	0.0530057	0.0277306	0.0335148	0.0274144	0.0998059	0.0482847	0.0441266	0.062991	0.00786671	0.0480628	0.0517181	0.0372243	0.0436457	0.056267	0.0794697	0.146211	0.0923299	0.173608	0.272234	0.0789459	0.0807086	0.0684374	0.0460724	0.0537275	0.236523	0.0131289	0.0449422	0.110763	0.0425047	0.047076	0.0183266	0.0822261	0.0552352	0.0932335	0.0764467	0.0780455	0.0420179	0.0352265	0.0392145	0.0403759	0.224136	0.0987339	0.0529798	0.0680717	0.0528748	0.165589	0.108618	0.0687213	0.091103	0.117641	0.0309455	0.101998	0.0508998	0.274953	0.0538255	0.0395992	0.127707	0.175935	0.0624704	0.0214274	0.031959	0.0497995	0.0926763	0.0671819	0.0820554	0.112364	0.0776964	0.0746908	0.0262142	0.211984	0.0804379	0.18827	0.072562	0.0902529	0.092617	0.0514755	0.0835074	0.148392	0.0288965	0.0118309	0.0284532	0.021993	0.0905949	0.0126881	2.00025e-05	0.0081947	0.0774954	0.0275181	0.135372	0.0402228	0.107595	0.0495816	0.138591	0.075542	0.0209686	0.0259043	0.0403159	0.0465249	0.103726	0.0112609	0.00114658	0.0225221	0.00933542	0.0163843	0.0156089	0.0813472	0.0659437	0.0304534	0.101505	0.0217405	0.0102678	0.0386776	0.211246	0.0884794	0.0190849	0.00876227	0.0107897	0.0142579	0.0487451	0.137122	0.000876642	0.15272	0.0353129	0.0043931	0.0704812	0.116164	0.0505627	0.0230582	0.0177899	0.000512635	0.025453	0.00625044	0.0119113	0.060605	0.04696	0.018795	0.0352626	0.0366877	0.00204814	0.00486019	0.0738529	0.0250369	0.00933065	0.0295996	0.00479461	0.0429817	0.296457	0.0254989	0.0168665	0.232609	0.017424	0.0421977	0.00271921	0.0291451	0.0526975	0.0284608	0.0127748	0.0115582	0.0486356	0.0467138	0.0165104	0.0342205	0.149738	0.0342454	0.0129856	0.0717324	0.212649	0.00922926	0.00066357	0.0102563	0.0257954	0.00106243	0.0336569	0.00587096	0.136952	0.0174797	0.0647304	0.414157	0.264187	0.109566	0.132551	0.0148085	0.242469	0.289046	0.0616562	0.406829	12.88831
20	-730657.2	-730578	-79.22311	0.0717367	0.0192582	0.0353919	0.0774552	0.0109672	0.0724699	0.105627	0.0711514	0.0766074	0.0509456	0.10417	0.0553509	0.0903493	0.0516562	0.0569726	0.0964043	0.0619242	0.0381461	0.0609971	0.0947585	0.0963483	0.101843	0.142017	0.0127023	0.0373923	0.0243617	0.0352819	0.143153	0.0242098	0.0358042	0.0403396	0.0198331	0.0486524	0.0887273	0.0388466	0.0432303	0.056267	0.0794697	0.109164	0.166431	0.0366297	0.404002	0.0529627	0.0706227	0.054472	0.0642738	0.0435725	0.353117	0.0434132	0.0506296	0.0482946	0.0549233	0.0585904	0.0661424	0.0518488	0.0844994	0.132395	0.0744907	0.0780455	0.0443748	0.0532321	0.044054	0.0403759	0.104526	0.0779661	0.0393226	0.0576209	0.049205	0.288594	0.0953748	0.133445	0.0625212	0.0911382	0.0772915	0.149833	0.0511424	0.104342	0.0631497	0.0510019	0.143212	0.236972	0.0484474	0.0690288	0.0411396	0.0497995	0.106679	0.0999868	0.101033	0.0440388	0.0555373	0.041815	0.049674	0.0954782	0.0723505	0.0381999	0.11132	0.0719751	0.0791358	0.0687106	0.0835074	0.129799	0.0272435	0.00876559	0.00351586	0.0086748	0.0512294	0.00435696	4.08448e-05	0.0293499	0.10711	0.0427609	0.0761384	0.0130704	0.0414146	0.0324955	0.105462	0.0318189	0.00699262	0.0201277	0.0288764	0.0149883	0.0451629	0.0122155	0.000728813	0.0169307	0.00192994	0.0115682	0.0299634	0.548174	0.0105073	0.00807471	0.0201546	0.00917939	0.0151604	0.0113261	0.135698	0.0617626	0.00540847	0.00124938	0.0280771	0.0127455	0.044036	0.0600539	0.000732644	0.255895	0.013036	0.00039784	0.101801	0.0141843	0.019663	0.0119622	0.00664595	0.00157638	0.0302546	0.00701133	0.00798164	0.0148469	0.111432	0.00855704	0.00503749	0.0366877	0.00111725	0.00768152	0.0357784	0.0269621	0.00534023	0.0122955	0.0106047	0.0314257	0.595846	0.0263925	0.00570708	0.135887	0.0107543	0.0437979	0.0032769	0.0303993	0.039051	0.0133683	0.0184655	0.00503957	0.0389769	0.0776516	0.0244115	0.00970985	0.106939	0.00919582	0.0160922	0.0294921	0.127872	0.00696513	0.00127298	0.00617908	0.00296129	0.00146449	0.078295	0.0185755	0.439297	0.00906617	0.0613796	0.384723	0.256193	0.0528994	0.204966	0.0398392	0.311468	0.170927	0.0681208	0.449484	12.44154
30	-657847.5	-657775.2	-72.28254	0.0813218	0.0291944	0.0397917	0.113619	0.0511969	0.0808197	0.108881	0.061461	0.0785905	0.0548458	0.10417	0.0649359	0.0719192	0.0598445	0.0542691	0.0964043	0.058811	0.0364474	0.0717051	0.0947585	0.1157	0.102024	0.112026	0.0115947	0.0398719	0.0143651	0.0458626	0.0881927	0.013858	0.00579968	0.0384388	0.0188853	0.0554122	0.0819765	0.0605948	0.0435987	0.056267	0.0568111	0.109998	0.117174	0.037745	0.0834319	0.0311126	0.0615389	0.0617942	0.0686054	0.0435725	0.0987611	0.0434132	0.0516772	0.0601077	0.0504909	0.0660979	0.062004	0.0518488	0.0844994	0.132395	0.0854142	0.0901737	0.0486765	0.0557512	0.0495959	0.0502599	0.0914861	0.0887281	0.0430976	0.0565011	0.0534523	0.230809	0.10693	0.119225	0.0840721	0.104619	0.126533	0.16383	0.0515437	0.0930385	0.0770954	0.0607147	0.144804	0.145791	0.0541087	0.0732029	0.0581103	0.055686	0.138253	0.0976585	0.130489	0.034866	0.0446296	0.0447675	0.049674	0.0620544	0.047107	0.0482652	0.0554567	0.0719751	0.0723401	0.0703576	0.090222	0.127622	0.0262674	0.0145752	0.00727395	0.0144574	0.0199595	0.000509875	8.26325e-05	0.0209486	0.0751855	0.0195911	0.0761384	0.0204092	0.01529	0.0147616	0.048901	0.00660038	0.00301265	0.00495921	0.0268055	0.0146631	0.0214664	0.0136295	0.001814	0.00863547	0.00288194	0.0227432	0.0151011	0.596689	0.00395193	0.004702	0.0216682	0.0280472	0.0194567	0.0337466	0.0503605	0.03269	0.0034188	0.000922345	0.0205874	0.00291557	0.0150795	0.0244169	0.000499507	0.414802	0.0108152	0.00084039	0.0861211	0.00958862	0.0185701	0.0170661	0.0163738	0.00303255	0.0364154	0.0119081	0.00475198	0.0142859	0.112378	0.0127094	0.00290482	0.0177885	0.00950919	0.00619304	0.031702	0.0100598	0.00915595	0.0245561	0.00833083	0.0424346	0.592197	0.0295676	0.00862363	0.0172647	0.0151306	0.0184761	0.0077304	0.0272354	0.0204751	0.00782606	0.0116249	0.00403499	0.0107721	0.0282754	0.0181566	0.0108693	0.00978369	0.017654	0.0788763	0.00530712	0.490709	0.00685995	0.00384288	0.00647003	0.00151365	0.00101063	0.0259436	0.0248687	0.595464	0.003289	0.056084	0.351531	0.26133	0.0483355	0.241141	0.0415788	0.360224	0.172386	0.0902848	0.377105	11.74748
40	-622462.2	-622404.9	-57.28053	0.0813218	0.0291944	0.0393755	0.0841669	0.0709134	0.0806096	0.108881	0.0802507	0.0785905	0.0565814	0.104441	0.065187	0.0524593	0.0642514	0.0503689	0.0996917	0.0566637	0.0377042	0.0717051	0.0960301	0.102886	0.100394	0.112026	0.00898558	0.0398371	0.0165696	0.034963	0.0462415	0.013858	0.00568373	0.0125754	0.0174634	0.0554122	0.0636315	0.0660334	0.0478745	0.0523696	0.0594544	0.115749	0.0508656	0.0402516	0.0620344	0.0303147	0.0615389	0.0506956	0.0686054	0.0435725	0.0987611	0.0351694	0.0542913	0.0601077	0.0481076	0.0690742	0.0661531	0.0497761	0.112072	0.0883866	0.0777493	0.0734889	0.0486765	0.0569517	0.0488006	0.0546271	0.0605737	0.0868266	0.0351504	0.0565011	0.0525327	0.14747	0.101342	0.109532	0.0382675	0.0749226	0.11742	0.114555	0.057392	0.0614777	0.0770954	0.0558467	0.140049	0.145791	0.043738	0.0731425	0.0629816	0.055686	0.138253	0.100285	0.100649	0.0263322	0.0369038	0.0359295	0.0319688	0.0407329	0.0590017	0.0482652	0.0131477	0.0746189	0.0746168	0.0744696	0.090222	0.127622	0.0156011	0.0100623	0.0103668	0.00805319	0.0283331	0.00219564	0.000133484	0.0181427	0.0313061	0.0109372	0.0451741	0.0345252	0.0136053	0.00974667	0.0273842	0.00660038	0.00114288	0.011902	0.0268055	0.00644735	0.0134614	0.0166404	0.00714784	0.0213307	0.0136999	0.0340563	0.0145663	0.474451	0.00532532	0.00867497	0.0216959	0.0167983	0.0240117	0.0216102	0.0135891	0.00845416	0.0110673	0.0015981	0.0143002	0.00441542	0.0150795	0.00793796	0.00355981	0.0403835	0.0100596	0.00184131	0.0454752	0.00811167	0.018397	0.0182371	0.00378959	0.00369718	0.039256	0.00712301	0.00234804	0.0238924	0.24387	0.00363276	0.00334287	0.0199139	0.00585876	0.0106187	0.0280744	0.006797	0.0123478	0.0192974	0.00653348	0.0477927	0.658983	0.0282937	0.0352468	0.0283244	0.00983487	0.0061011	0.0106784	0.0274638	0.00979325	0.0087355	0.0207957	0.00967344	0.0039068	0.0676421	0.0131203	0.00361856	0.0145641	0.0141342	0.104164	0.00398857	0.105772	0.00528085	0.00803546	0.00395467	0.00211226	0.0014393	0.0362037	0.0144039	0.595464	0.00114498	0.0573468	0.359446	0.244277	0.0498442	0.24657	0.042515	0.349663	0.175231	0.0917752	0.38333	10.24728
50	-598704	-598652.4	-51.60942	0.0762119	0.0320084	0.0328292	0.0830768	0.0709134	0.0859337	0.0391483	0.0619861	0.0773328	0.0573279	0.0896811	0.0708013	0.0410786	0.0610196	0.0503689	0.111884	0.0413797	0.035457	0.08572	0.0684883	0.097178	0.100394	0.14925	0.0100111	0.0398371	0.0144474	0.0476215	0.0255116	0.0138428	0.00453163	0.00928524	0.0182903	0.0579942	0.0199015	0.0660334	0.0478745	0.050389	0.0594544	0.115749	0.0508656	0.0415831	0.0620344	0.0326688	0.0559055	0.0506956	0.0686054	0.0388722	0.0433579	0.0382933	0.0542913	0.0552937	0.0491642	0.0675692	0.0671492	0.0481202	0.112072	0.0682442	0.0671581	0.0635595	0.0486765	0.0569517	0.0536963	0.0456124	0.0077075	0.130026	0.0414193	0.0629962	0.051738	0.0908821	0.101342	0.109532	0.0297775	0.0514182	0.105158	0.106219	0.0503405	0.0614777	0.0710877	0.0558467	0.140049	0.124885	0.047079	0.0716892	0.0696719	0.0609182	0.125086	0.0952122	0.0876039	0.031287	0.0369038	0.035304	0.0103187	0.0419215	0.0361177	0.0371521	0.00178422	0.0746189	0.0744328	0.0780995	0.090222	0.121848	0.013878	0.0110893	0.0157403	0.00702923	0.0177749	0.0234801	8.66634e-05	0.0199696	0.0115883	0.00489922	0.0220763	0.0223823	0.0192239	0.0105988	0.010347	0.00221915	0.00255488	0.0170923	0.034573	0.00540555	0.00971178	0.0134135	0.0051943	0.0152549	0.0150251	0.0166062	0.0128637	0.474451	0.015085	0.0071616	0.0148862	0.00705468	0.0112642	0.0262845	0.0166156	0.0033565	0.0206068	0.00869546	0.012089	0.0139249	0.0129029	0.0080692	0.00435473	0.0195534	0.00495837	0.00195287	0.0446193	0.00633218	0.0235728	0.0160006	0.0179403	0.00750191	0.0199325	0.0082756	0.010428	0.041543	0.359447	0.00480441	0.0089197	0.0272923	0.0160219	0.00866577	0.0276229	0.00498098	0.0103753	0.00983648	0.0099566	0.0369897	0.611009	0.0225248	0.0162894	0.0746197	0.00957083	0.0063362	0.010782	0.0225989	0.00392724	0.00511317	0.0192729	0.0127554	0.00399384	0.0616289	0.0221034	0.00671256	0.0245196	0.0135548	0.101613	0.00929618	0.0179054	0.0096545	0.0145326	0.00480696	0.00100799	0.00117052	0.0224848	0.0132274	0.59106	0.00184041	0.0603548	0.325848	0.25709	0.0524586	0.259503	0.044745	0.354609	0.17771	0.0930733	0.374607	9.680172
60	-566406.2	-566358.6	-47.55849	0.0772205	0.0320084	0.0356867	0.0783794	0.0468454	0.054955	0.0351034	0.0681	0.0773328	0.0573279	0.0884284	0.0667796	0.0542547	0.0614074	0.0551295	0.101417	0.0247619	0.0236788	0.0711124	0.0574501	0.0983462	0.109877	0.14925	0.00976153	0.0163205	0.0172434	0.0439787	0.00872755	0.00869465	0.00453163	0.0100751	0.0205366	0.0535809	0.00359672	0.0578112	0.0478745	0.0507113	0.0594544	0.123604	0.053256	0.0415831	0.0504083	0.0326688	0.0542384	0.0518384	0.0660392	0.0398857	0.0522093	0.0403838	0.0597822	0.0495424	0.0405524	0.0675692	0.0483049	0.0502523	0.112072	0.0817815	0.0671581	0.0635595	0.0455768	0.0572365	0.0536963	0.0480679	0.00471201	0.109939	0.0400464	0.0492828	0.0371672	0.0871788	0.0849728	0.109532	0.0374646	0.0469596	0.0919394	0.0731289	0.0600456	0.053569	0.0674169	0.0630747	0.140049	0.120133	0.047079	0.0776735	0.0566136	0.0737371	0.115703	0.0818118	0.0849232	0.0295775	0.0408661	0.0381514	0.00233681	0.0419215	0.0358519	0.0371521	0.00198584	0.0718955	0.0724081	0.0780995	0.090222	0.121848	0.0117662	0.00724146	0.0108514	0.00369789	0.00698681	0.0399311	0.000764312	0.0179804	0.00721876	0.00501401	0.019316	0.0328571	0.0146635	0.00658453	0.0121	0.00403096	0.0134338	0.00940401	0.0308307	0.0050691	0.00714833	0.0110083	0.00773025	0.0112996	0.0199875	0.0212395	0.0126927	0.608774	0.00896507	0.0117778	0.0134391	0.00797672	0.0162931	0.00484605	0.016278	0.0100051	0.0155528	0.0356874	0.02173	0.0183427	0.0124437	0.0167189	0.00479592	0.0137752	0.00792261	0.00269253	0.0446193	0.00240446	0.011385	0.0159665	0.021781	0.00388411	0.016658	0.00687392	0.021463	0.0447923	0.28354	0.00819744	0.0170892	0.0106747	0.0124573	0.00885964	0.0247675	0.00467759	0.004107	0.012249	0.0216681	0.0114449	0.528328	0.0251647	0.013306	0.0543578	0.00879522	0.0164532	0.00913087	0.0251597	0.0104999	0.00285677	0.0160802	0.0111686	0.00734999	0.0627343	0.0152007	0.00510195	0.0259424	0.0183121	0.0265323	0.0061861	0.019273	0.00626837	0.0418286	0.0131653	0.00214845	0.00214966	0.0197686	0.0151523	0.59106	0.00169204	0.0467003	0.330675	0.260898	0.0529712	0.263347	0.0454078	0.353888	0.177349	0.0949177	0.373846	9.275079
70	-551190.9	-551150.9	-40.00169	0.0696821	0.0317341	0.0390586	0.0803377	0.0447892	0.0503404	0.0351034	0.0681	0.0714778	0.053516	0.0884284	0.0667796	0.0481537	0.0614074	0.0462717	0.105963	0.0247619	0.0236788	0.0711124	0.0570141	0.0811198	0.0951969	0.139984	0.00976153	0.0184412	0.0142364	0.0439787	0.00892241	0.0061095	0.00341165	0.00963751	0.0191673	0.0503306	0.0023181	0.0578112	0.0467385	0.0507113	0.0542427	0.11786	0.0677372	0.0391291	0.0504083	0.0352714	0.0526918	0.0461178	0.0660392	0.0398857	0.0459327	0.0403838	0.0543092	0.0495424	0.0226239	0.0707318	0.0193839	0.0502523	0.106422	0.0706313	0.0718413	0.0620763	0.0491772	0.0543183	0.0536963	0.0458645	0.00126276	0.0907494	0.0400464	0.0361591	0.0397959	0.0752556	0.0849292	0.0965155	0.0303393	0.0506543	0.0900269	0.068805	0.0575193	0.0527668	0.0698903	0.0575854	0.146039	0.120133	0.047079	0.0776735	0.0646222	0.0769481	0.114161	0.0852272	0.085003	0.0295775	0.0374818	0.039317	0.00294793	0.0341944	0.0340235	0.0364266	0.00256868	0.0718955	0.0665492	0.0749865	0.0918979	0.123612	0.0135847	0.0126688	0.0110576	0.00388583	0.00826581	0.0189685	0.00305252	0.0121096	0.00641805	0.0045001	0.0117449	0.0352461	0.00927739	0.0133193	0.0058994	0.00219249	0.0683112	0.00534454	0.0308307	0.00483931	0.00984324	0.00717424	0.0191102	0.0102462	0.018643	0.0126245	0.015198	0.608774	0.0151402	0.0113857	0.0200296	0.0188303	0.0201922	0.00362746	0.0171403	0.00861105	0.00776623	0.0486987	0.0251262	0.0100264	0.0124437	0.0164304	0.00478271	0.0105691	0.00769459	0.0110592	0.0385518	0.0120929	0.0283346	0.0161081	0.0138292	0.00674543	0.0170618	0.0140938	0.0210952	0.0356504	0.0280009	0.0107808	0.0231033	0.016226	0.0192074	0.00953108	0.0104485	0.0105384	0.00534219	0.0447301	0.0229876	0.00964852	0.153016	0.0181263	0.0142743	0.02558	0.00695296	0.0128765	0.0127228	0.0251597	0.0114434	0.00367284	0.00765301	0.00974549	0.0126221	0.0621453	0.0110605	0.00849398	0.0208293	0.0163232	0.0157649	0.00829894	0.0182455	0.0172669	0.0390392	0.0122584	0.003699	0.00189034	0.0195594	0.0162007	0.629839	0.00102342	0.0474849	0.329224	0.265282	0.0440671	0.267772	0.0461706	0.353778	0.177605	0.0948881	0.373729	8.519399
80	-546547.8	-546508.9	-38.90443	0.0822658	0.0312471	0.0358692	0.076818	0.0447892	0.0503404	0.0355248	0.0681	0.0742684	0.0540245	0.0916173	0.0682732	0.0478104	0.0614074	0.0483141	0.10493	0.0208312	0.0224034	0.0717624	0.0570141	0.0821322	0.0940304	0.129745	0.0111365	0.0252829	0.0160943	0.0397536	0.00892358	0.00765577	0.004639	0.00882894	0.0180111	0.0503306	0.00105114	0.0624573	0.0467385	0.0479005	0.0542427	0.113498	0.0690568	0.0391291	0.0406523	0.0341887	0.0530059	0.0404713	0.0656588	0.0371661	0.0459327	0.0342248	0.0566319	0.0495424	0.0269586	0.0662969	0.0191453	0.0495211	0.0722009	0.0550539	0.0649293	0.0579764	0.0547224	0.0589733	0.0533829	0.0458645	0.000650183	0.0907494	0.0376316	0.040179	0.0342395	0.0638593	0.0849292	0.0883229	0.0310448	0.0506543	0.0900269	0.0674336	0.0556979	0.0527668	0.0698903	0.0542716	0.143104	0.120133	0.0498639	0.0776735	0.0628217	0.0528916	0.114161	0.0852272	0.085003	0.0295435	0.0380403	0.0361723	0.00413225	0.0389845	0.0344925	0.0381147	0.00185096	0.0756498	0.0665492	0.0771486	0.0909759	0.124256	0.0128476	0.0149939	0.0119311	0.00550461	0.0174923	0.0208487	0.0145153	0.0193557	0.0057516	0.0095419	0.0104234	0.0415647	0.0289834	0.0141807	0.0148202	0.000482662	0.0825983	0.00640146	0.0324086	0.00707186	0.013176	0.00581544	0.0237495	0.0101603	0.0135898	0.0122842	0.0132073	0.662748	0.0158234	0.00989043	0.0204129	0.0342269	0.0196862	0.0117962	0.0171403	0.0157984	0.0075963	0.0506156	0.013674	0.0122364	0.0134408	0.0170572	0.00405398	0.00795964	0.00760554	0.00855459	0.0364283	0.00510317	0.0352683	0.0071778	0.0138316	0.0130419	0.0170618	0.0140938	0.0094542	0.0290309	0.0111786	0.0120897	0.0109912	0.0162071	0.012693	0.0114667	0.00851668	0.0110617	0.00951101	0.0473254	0.0229876	0.00578527	0.0207256	0.0095657	0.0142743	0.0276551	0.0090484	0.0105266	0.00899157	0.0259326	0.00880119	0.011019	0.00825499	0.00533762	0.00686894	0.0621453	0.0108522	0.0102538	0.0208262	0.0149265	0.0114285	0.00799555	0.0182055	0.0162408	0.0403257	0.0117937	0.00530673	0.000827145	0.0167724	0.012011	0.688103	0.000447712	0.0460728	0.319434	0.257393	0.0427566	0.289546	0.0447977	0.350738	0.176079	0.102666	0.370518	8.409673
90	-545178.6	-545139.9	-38.69958	0.0814566	0.0315356	0.0382721	0.076818	0.0447892	0.0503404	0.0355248	0.0655025	0.0762944	0.0491093	0.091635	0.0670461	0.0486052	0.0614074	0.0528819	0.102042	0.0213701	0.022018	0.0677695	0.0518215	0.0821322	0.0940304	0.129199	0.00865661	0.0198615	0.0143379	0.0404571	0.00959436	0.0071673	0.00271625	0.00931022	0.0181745	0.0499603	0.000930276	0.0607389	0.0470548	0.0470596	0.0542427	0.113498	0.0565671	0.038517	0.0427937	0.0334476	0.0530059	0.0429048	0.0612125	0.0393188	0.0516003	0.0392719	0.0551876	0.0495424	0.0243338	0.062609	0.0201454	0.051504	0.0607352	0.0550539	0.0681408	0.0579764	0.0521255	0.0565369	0.0543382	0.0488761	0.00184498	0.0941309	0.0376316	0.0369278	0.0342395	0.0638593	0.0882458	0.101047	0.0303453	0.0468377	0.0880075	0.0674336	0.0556979	0.0555852	0.066058	0.0542716	0.144033	0.120133	0.0496467	0.0750279	0.0633105	0.0521795	0.114161	0.0852272	0.085003	0.0308452	0.0386471	0.0368351	0.00303707	0.0389845	0.0402771	0.0351761	0.00170151	0.0736012	0.0665492	0.0771486	0.0909759	0.124256	0.00999462	0.0172369	0.0086485	0.00562601	0.0163606	0.0232238	0.013258	0.0224821	0.00644359	0.00938526	0.0109044	0.0436483	0.024793	0.0121761	0.0258446	0.000168281	0.0791424	0.00772472	0.0285307	0.00277236	0.0242699	0.00500198	0.0237495	0.0107799	0.0135898	0.0110244	0.0137361	0.665807	0.0206322	0.0110467	0.016351	0.0342269	0.0159895	0.00976693	0.0175633	0.0126777	0.00768089	0.0506156	0.0152497	0.0162694	0.0140451	0.0225085	0.00512338	0.00941893	0.00804819	0.00832026	0.0364283	0.00592926	0.0390482	0.00143858	0.0179123	0.0137588	0.016538	0.0140938	0.0113471	0.0294916	0.00912116	0.0107964	0.0069195	0.0148609	0.0124156	0.00735302	0.00838141	0.0137536	0.00975365	0.0494657	0.0229849	0.00623634	0.0149001	0.00894613	0.0160023	0.025761	0.0077753	0.0110551	0.0090654	0.0240309	0.00822087	0.014177	0.00834715	0.00671418	0.00772476	0.0621453	0.0113992	0.010516	0.0208262	0.0152095	0.0114285	0.00649451	0.0183763	0.0169569	0.0403257	0.0118022	0.0059848	0.00233219	0.0198457	0.0162487	0.675491	0.00117314	0.0460728	0.319434	0.257393	0.0427566	0.289546	0.0447977	0.349845	0.176321	0.102807	0.371028	8.389188
