Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	bl[150]	bl[151]	bl[152]	bl[153]	bl[154]	bl[155]	bl[156]	bl[157]	bl[158]	bl[159]	bl[160]	bl[161]	bl[162]	bl[163]	bl[164]	bl[165]	bl[166]	bl[167]	bl[168]	bl[169]	bl[170]	bl[171]	bl[172]	bl[173]	bl[174]	bl[175]	bl[176]	bl[177]	bl[178]	bl[179]	bl[180]	bl[181]	bl[182]	bl[183]	bl[184]	bl[185]	bl[186]	bl[187]	bl[188]	bl[189]	bl[190]	bl[191]	bl[192]	bl[193]	bl[194]	bl[195]	bl[196]	bl[197]	bl[198]	bl[199]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1332575	-1332426	-149.0215	0.0847131	0.156395	0.00896743	0.199418	0.0935471	0.0861574	0.199144	0.0013965	0.0376042	0.076186	0.0217442	0.104961	0.0855405	0.125101	0.121782	0.339223	0.0119167	0.130123	0.00357612	0.093588	0.134594	0.36713	0.148986	0.044866	0.0481404	0.00666774	0.167473	0.0318657	0.038	0.0259084	0.350339	0.0471544	0.0833127	0.00222371	0.00148562	0.067398	0.0314119	0.0183875	0.0913692	0.0133739	0.144418	0.0704903	0.166189	0.24439	0.0104656	0.0615418	0.0323388	0.13507	0.0406093	0.0190836	0.02472	0.0873234	0.0551977	0.131852	0.146092	0.098382	0.0630033	0.0666151	0.00860362	0.0149069	0.192729	0.0375274	0.0358632	0.167374	0.101912	0.0592427	0.0795077	0.228936	0.00834968	0.0128713	0.0433588	0.0304328	0.0137622	0.00337762	0.00331559	0.0219483	0.107578	0.0364195	0.0770832	0.249769	0.0103234	0.413537	0.257452	0.325903	0.0304692	0.0348295	0.0834486	0.1994	0.035266	0.116652	0.0737245	0.0156719	0.319428	0.304111	0.339878	0.00556971	0.0315536	0.0769551	0.0228795	0.00918483	0.0353153	0.0876077	0.158915	0.155546	0.0538399	0.0528576	0.19324	0.0503429	0.0169472	0.173012	0.150991	0.00860511	0.163778	0.0996559	0.0424441	0.0845431	0.0434098	0.016196	0.0109953	0.201532	0.00251891	0.0184374	0.0348754	0.154066	0.18357	0.000591993	0.0184797	0.291718	0.0772317	0.0261525	0.111747	0.101449	0.0851885	0.104272	0.0309357	0.0441354	0.00604411	0.00416503	0.266696	0.251186	0.000905381	0.0357587	0.0667656	0.0133189	0.0712142	0.117819	0.118789	0.0342966	0.0698372	0.293052	0.150921	0.0590159	0.0843429	0.207434	0.135679	0.0641782	0.0025268	0.0120788	0.0316631	0.0319562	0.130747	0.0617157	0.190033	0.0233675	0.0123508	0.0272719	0.0112673	0.0349077	0.165284	0.138768	0.143164	0.126255	0.0908033	0.0274161	0.176478	0.180122	0.0254076	0.020247	0.109287	0.18686	0.0197388	0.189725	0.0782674	0.0389629	0.0462473	0.016607	0.0323956	0.337233	0.241266	0.0793228	0.0447928	0.118943	0.0416387	0.0714387	0.209024	0.00465778	0.288642	0.0737662	0.290039	0.1480285	0.132942	0.326591	0.336322	0.204146	18.8593
10	-899419.9	-899281.9	-138.0304	0.0789605	0.0699404	0.0468982	0.0827432	0.167794	0.0920394	0.134216	0.00375265	0.0765183	0.076186	0.0444299	0.0754748	0.0513453	0.083107	0.0796615	0.173355	0.0236257	0.0658999	0.0231816	0.0916449	0.137926	0.123317	0.562192	0.016092	0.0287246	0.0101273	0.262053	0.034663	0.025654	0.0284421	0.0580703	0.0260275	0.0503928	0.00615612	0.00765934	0.067398	0.0728919	0.0644069	0.14424	0.0404597	0.1984	0.069753	0.0525864	0.219499	0.0236829	0.075977	0.0485572	0.107092	0.119948	0.0520254	0.0397309	0.103577	0.0765352	0.080625	0.0971173	0.0659735	0.111678	0.0774971	0.0435624	0.0364533	0.0906514	0.0557928	0.0550382	0.121769	0.348996	0.0592427	0.158913	0.694653	0.019066	0.0975537	0.157226	0.081941	0.0259469	0.00963498	0.0145139	0.0275393	0.0638	0.0469375	0.0701935	0.14388	0.0324407	0.322269	0.110567	0.0705923	0.0488291	0.168883	0.0834486	0.217831	0.0352534	0.0439838	0.135391	0.121317	0.113642	0.0758583	0.766868	0.00823905	0.0505306	0.0957091	0.0629897	0.102167	0.0477978	0.0317268	0.0671265	0.714423	0.0165863	0.0528576	0.0902951	0.0201591	0.0102441	0.015692	0.244119	0.00203894	0.138176	0.060627	0.0344313	0.0310921	0.00968316	0.0293455	0.00915173	0.0997235	0.00324362	0.0055761	0.0164339	0.0223819	0.091412	0.00104941	0.0147345	0.184558	0.201416	0.0238696	0.0739072	0.0280772	0.11483	0.0304013	0.0206145	0.0361995	0.00993829	0.00335897	0.344766	0.160847	0.000965701	0.00936109	0.0809282	0.0223384	0.0408361	0.038286	0.131076	0.0572865	0.0253241	0.155515	0.0588878	0.0204172	0.0153828	0.295405	0.031902	0.0378661	0.000532283	0.00644678	0.0040118	0.011559	0.0410027	0.0208862	0.0707024	0.0178783	0.0055888	0.0127181	0.0173849	0.028815	0.180356	0.448865	0.338684	0.107918	0.0418425	0.0127435	0.0370783	0.103493	0.00914714	0.00762325	0.00414191	0.0560085	0.0137155	0.0285648	0.0101456	0.164455	0.0146274	0.0173993	0.00679363	0.173576	0.525167	0.105636	0.00751382	0.0363759	0.0651563	0.050494	0.0489696	0.0130163	0.73385	0.0152131	0.0227039	0.2347107	0.362594	0.151471	0.118267	0.367668	17.79153
20	-723488.7	-723376.9	-111.773	0.0771923	0.0576123	0.0612353	0.0827432	0.111164	0.158683	0.11981	0.0563816	0.0765183	0.076186	0.0797101	0.0754748	0.0513453	0.0832532	0.0798006	0.101561	0.0198007	0.0231313	0.0437914	0.0600635	0.131058	0.123317	0.300612	0.0163371	0.0191059	0.0310646	0.117035	0.0197845	0.0175758	0.01305	0.00981562	0.0210258	0.0554788	0.0447019	0.0358898	0.0650749	0.0744416	0.0644069	0.112367	0.0545434	0.105796	0.0465136	0.0372794	0.136429	0.106367	0.0701259	0.0459523	0.0650922	0.104279	0.0717488	0.0460496	0.0233824	0.0775349	0.019512	0.0887556	0.0860206	0.0846493	0.0797862	0.0511159	0.0535773	0.0593905	0.0463334	0.056122	0.121769	0.0782904	0.0592427	0.0996264	0.775482	0.0581898	0.0926804	0.157226	0.0613281	0.0569009	0.0082011	0.0399234	0.0717984	0.0604144	0.07008	0.061398	0.144358	0.137582	0.0545141	0.0760363	0.0671768	0.0488291	0.111749	0.0901732	0.122267	0.0746393	0.0348591	0.11253	0.0740412	0.0902495	0.0470686	0.16842	0.00262056	0.0784746	0.0699872	0.0934318	0.102167	0.127205	0.0304582	0.0161985	0.622952	0.0130932	0.0239537	0.0550728	0.00561552	0.0158447	0.00737571	0.463126	0.002198	0.04759	0.0609148	0.0437928	0.0109267	0.0119793	0.0546596	0.0231223	0.0110626	0.00463139	0.00323454	0.0105808	0.0151668	0.016472	0.00244301	0.0153283	0.0205064	0.585259	0.025368	0.035903	0.00842885	0.0935141	0.00750573	0.00763759	0.0317747	0.0257274	0.00212249	0.56633	0.126264	0.00161163	0.0179395	0.0358988	0.0318124	0.0144297	0.0342597	0.269206	0.0256766	0.0113112	0.049911	0.00968785	0.0109459	0.00756355	0.594552	0.0133139	0.0214354	0.00533739	0.00609145	0.0033992	0.00506607	0.0214218	0.00377622	0.0341766	0.0178783	0.00287477	0.0180624	0.0372591	0.0390077	0.0698437	0.348763	0.826107	0.0309743	0.0173391	0.00424447	0.0181919	0.0149901	0.00617591	0.0126561	0.000910381	0.0331707	0.0123493	0.0108127	0.0318981	0.0220873	0.00357675	0.0363432	0.010279	0.0396243	0.1031	0.0605761	0.00378407	0.0129951	0.0237249	0.0196498	0.00947937	0.0091413	0.684235	0.0134622	0.015641	0.6572724	0.361259	0.140021	0.117832	0.380888	15.15905
30	-667611.6	-667528.4	-83.13016	0.0856409	0.0527965	0.0451341	0.0827432	0.0728279	0.121287	0.0780111	0.0664118	0.0787606	0.0657639	0.0839278	0.0716242	0.058338	0.0732852	0.0798006	0.118816	0.0223248	0.0226518	0.0633634	0.0528614	0.121087	0.123317	0.100398	0.00983907	0.0211827	0.0426397	0.0723382	0.017561	0.0172243	0.0027517	0.00813514	0.0235018	0.0595637	0.0673405	0.0751758	0.0536693	0.0723029	0.055378	0.124104	0.0462484	0.0736039	0.0462823	0.0430927	0.0629064	0.106367	0.0556584	0.0477074	0.0578746	0.0797538	0.0643058	0.053189	0.0253167	0.0670602	0.0187445	0.09118	0.0897285	0.0806328	0.0804165	0.0578794	0.0597117	0.0593905	0.0500935	0.0611163	0.0779226	0.0884793	0.0408503	0.0693112	0.0888354	0.0662657	0.0919358	0.151645	0.0277019	0.0473163	0.00215833	0.0701005	0.113504	0.0609102	0.0738678	0.0532214	0.180303	0.133529	0.0545141	0.0824879	0.0636772	0.0488291	0.122958	0.0901732	0.126227	0.0317027	0.0383606	0.0311862	0.0203007	0.0870301	0.0340944	0.0451564	0.000466527	0.0784746	0.0718931	0.0934318	0.0999335	0.12717	0.012583	0.0101481	0.589478	0.00458574	0.0171316	0.0142063	0.0111699	0.00658611	0.00591974	0.508125	0.00207246	0.0450998	0.0417031	0.0578756	0.00404361	0.0114722	0.0504015	0.0130984	0.00249932	0.012944	0.00651684	0.0120045	0.00992393	0.00456006	0.00443314	0.00930716	0.039516	0.574155	0.00782217	0.0198163	0.00507176	0.104158	0.00821684	0.00629784	0.0129007	0.040839	0.00284413	0.0342407	0.0351594	0.0120171	0.0220162	0.0358988	0.0393911	0.0212063	0.0173894	0.0425046	0.0177558	0.0143127	0.0359056	0.012662	0.0128234	0.00316398	0.594552	0.0202811	0.0217624	0.00393169	0.0118066	0.00233282	0.00654133	0.0122687	0.00994659	0.00651912	0.0204488	0.0075826	0.0151484	0.0473764	0.0314772	0.0156937	0.224361	0.734696	0.0196007	0.0131318	0.00252658	0.0179755	0.0350691	0.00910566	0.00834334	0.00173744	0.0145428	0.0128732	0.0108072	0.0413396	0.0243649	0.00405323	0.0147627	0.00896613	0.0186592	0.0541763	0.0252923	0.00179336	0.00389969	0.0268461	0.0227341	0.0108576	0.0154129	0.568986	0.0190054	0.0282346	1.684475	0.364048	0.13338	0.118742	0.38383	12.19586
40	-641840.8	-641763.2	-77.5888	0.0856409	0.0376936	0.0380547	0.105009	0.0728279	0.0851776	0.0361451	0.0664118	0.0721209	0.0549727	0.0951558	0.0716242	0.0517117	0.0746001	0.0661003	0.142018	0.0223248	0.0226518	0.0686655	0.0508833	0.121087	0.106309	0.101023	0.00864641	0.0216233	0.0310713	0.0744938	0.00904939	0.0109247	0.0027517	0.00868434	0.0226589	0.0533109	0.0475455	0.077793	0.0471391	0.0539811	0.0580051	0.124104	0.0481787	0.0526094	0.0462823	0.0358274	0.0563295	0.105195	0.0678537	0.0429594	0.0473473	0.0399044	0.052961	0.053189	0.0253167	0.0661371	0.0191028	0.0919386	0.0897285	0.130485	0.0737912	0.0578794	0.0618032	0.0593905	0.0533909	0.050628	0.031724	0.0934517	0.0350083	0.0699761	0.0418867	0.0668292	0.0883001	0.151645	0.0322663	0.0535271	0.00305359	0.0742925	0.106891	0.0632329	0.0733209	0.0635436	0.174445	0.11205	0.0553778	0.0824879	0.0654417	0.0464372	0.142369	0.0844631	0.141759	0.0278847	0.0383606	0.0318316	0.00944927	0.0708389	0.0340944	0.0376058	0.00049829	0.0701671	0.0735121	0.0934318	0.0999335	0.125277	0.0101997	0.010734	0.589315	0.00533527	0.0125687	0.00642672	0.00701577	0.00730989	0.0102243	0.508125	0.00193441	0.0210348	0.0119448	0.0631383	0.00963944	0.00840079	0.0504015	0.00434656	0.00276652	0.00921513	0.0147633	0.0124945	0.00966606	0.00598119	0.00325909	0.0158486	0.0177811	0.574155	0.0134549	0.0155478	0.0177712	0.119514	0.0107257	0.0023305	0.0158921	0.0386474	0.00142603	0.0125629	0.0249782	0.0123473	0.020091	0.0316353	0.0338076	0.0122332	0.00918612	0.083828	0.00705032	0.0146111	0.0261467	0.0155777	0.00966584	0.00212758	0.594552	0.0166567	0.0178476	0.0106741	0.0113878	0.00279913	0.0325361	0.0144385	0.0115661	0.00290851	0.0301158	0.0255386	0.0151484	0.029647	0.020683	0.0230546	0.102907	0.725336	0.0152592	0.0140467	0.00367681	0.0308143	0.0195373	0.0172355	0.00702089	0.0043462	0.00684005	0.0151338	0.00692099	0.00880505	0.0158395	0.00613233	0.0366836	0.0106861	0.00715779	0.0667758	0.00632801	0.0127121	0.00490294	0.0376287	0.0277594	0.00867691	0.0137382	0.557164	0.00407026	0.0246142	1.834615	0.401937	0.131628	0.0876469	0.378788	11.62837
50	-600728.1	-600661.9	-66.23028	0.0856409	0.0320282	0.0380547	0.0838317	0.0727783	0.0853975	0.0378357	0.0664118	0.0712285	0.0549727	0.0978681	0.0674259	0.0652424	0.0622902	0.0491081	0.142018	0.019577	0.0226518	0.0870721	0.0508833	0.0901735	0.111727	0.112924	0.0112164	0.0197695	0.0157696	0.0671581	0.00923297	0.00830945	0.00344646	0.0117057	0.021085	0.0533109	0.0035057	0.0714333	0.0350506	0.0539811	0.0580051	0.116178	0.0481787	0.0494916	0.0458609	0.0368462	0.0516368	0.086047	0.0654874	0.0327544	0.0488964	0.0481674	0.052961	0.0568524	0.0253148	0.0666106	0.0192077	0.0479936	0.11324	0.0685249	0.0716853	0.0596486	0.0377176	0.0636403	0.0509379	0.0469123	0.0149123	0.141396	0.041882	0.036976	0.0418867	0.0690048	0.0944243	0.151645	0.0322663	0.0521057	0.00471655	0.0726413	0.0578134	0.0632329	0.0745661	0.0635436	0.174445	0.11205	0.0553778	0.0824879	0.0654417	0.0477661	0.122032	0.0843929	0.141759	0.029324	0.0343405	0.0372971	0.00388202	0.034789	0.0340944	0.0383032	0.00151704	0.0693934	0.0735121	0.0928927	0.0918898	0.125277	0.00801984	0.00930067	0.331448	0.0274612	0.0138247	0.00295957	0.004372	0.0138505	0.0158996	0.552585	0.0100796	0.0203914	0.0255973	0.0949989	0.00963944	0.00736991	0.0321512	0.0102132	0.00902887	0.00410545	0.0117233	0.0071318	0.0135732	0.00796859	0.00231286	0.0213988	0.00904486	0.548683	0.0102219	0.0118292	0.01105	0.110732	0.00554992	0.00541813	0.0246147	0.0389968	0.00552011	0.013078	0.0247989	0.013646	0.00357145	0.0122977	0.0298917	0.00663882	0.019932	0.0309871	0.0363122	0.0194284	0.0160072	0.0166575	0.00779612	0.00763561	0.18663	0.00265598	0.037654	0.00802786	0.0129124	0.00184813	0.0125146	0.0139526	0.0105671	0.00932796	0.019624	0.0388996	0.0155261	0.0224352	0.0170668	0.0144225	0.0265189	0.612145	0.00591248	0.00742024	0.000485768	0.0139303	0.01185	0.0153109	0.0084824	0.00668923	0.00620278	0.0115515	0.0162842	0.017883	0.0434193	0.0104081	0.0760786	0.0145465	0.00137422	0.0667758	0.0163775	0.0330214	0.00772916	0.0569896	0.0255226	0.00795412	0.00934107	0.570237	0.00127794	0.0268262	1.903303	0.39501	0.133153	0.0886621	0.383176	10.48655
60	-575186.4	-575129.7	-56.70446	0.0978226	0.0344408	0.0427578	0.0838317	0.0663483	0.0853975	0.0355888	0.0657567	0.0808062	0.0530475	0.0928202	0.0567277	0.0652424	0.0622902	0.0491081	0.184716	0.0215842	0.020568	0.075617	0.0508833	0.0848394	0.104162	0.0970361	0.0103016	0.0198394	0.0157782	0.0453328	0.00834831	0.00588441	0.00247104	0.00935409	0.018943	0.0533109	0.00121868	0.0714333	0.0463827	0.0530645	0.0580051	0.112468	0.0580613	0.040178	0.0426627	0.033472	0.0516368	0.0475419	0.0654874	0.0433544	0.0488964	0.0341734	0.0561691	0.0569163	0.024148	0.0666106	0.0218799	0.0507588	0.0623232	0.0559763	0.0716853	0.0562868	0.0395836	0.0588409	0.0467676	0.0469123	0.00607564	0.13843	0.0355873	0.0382691	0.0321985	0.0690048	0.0887495	0.152691	0.029949	0.0527743	0.00783735	0.0726413	0.0563871	0.0482514	0.0655427	0.0635436	0.169727	0.111168	0.0520241	0.0742216	0.0680416	0.0564369	0.122032	0.0858925	0.152365	0.0300034	0.0351498	0.0372971	0.00378429	0.034789	0.0340944	0.0369181	0.00193049	0.0693934	0.0705765	0.0928927	0.0896319	0.127616	0.00976498	0.0113684	0.195748	0.0297672	0.00999105	0.016403	0.0111174	0.0117342	0.0217871	0.374989	0.0100796	0.0135002	0.022892	0.0736515	0.00839616	0.0143629	0.0124872	0.0156632	0.00992153	0.0076846	0.00496408	0.00518981	0.0133941	0.00289254	0.000997039	0.0245583	0.0078462	0.649858	0.0210389	0.00627091	0.012149	0.0604902	0.00713668	0.00458969	0.0170177	0.0363899	0.00825777	0.0114013	0.0229355	0.0135807	0.00184601	0.00770065	0.0220568	0.00884452	0.0117437	0.0227288	0.0391365	0.0146848	0.0126013	0.00865071	0.0223265	0.00320803	0.0573846	0.00365193	0.0360177	0.0121733	0.010588	0.00158534	0.0101597	0.0147355	0.0100154	0.00969117	0.0414379	0.0394847	0.0149686	0.0386044	0.0158172	0.0140286	0.0233687	0.183056	0.00660832	0.00974511	0.000948507	0.0139303	0.0122498	0.0130627	0.010323	0.00581289	0.00598782	0.0117797	0.0251393	0.00999486	0.026961	0.0269074	0.0700199	0.0117179	0.00161674	0.0567281	0.0255281	0.0326734	0.00728733	0.0290187	0.0275957	0.00928063	0.00929039	0.681123	0.000276753	0.0296928	1.90711	0.396556	0.127254	0.08948	0.386711	9.533635
70	-566212.2	-566161.9	-50.2516	0.070462	0.0300299	0.0387821	0.0842689	0.0423851	0.0511996	0.0361473	0.0657567	0.0795116	0.0501151	0.0928202	0.0564481	0.0552645	0.0612612	0.0493392	0.18649	0.0209434	0.0205814	0.0738414	0.0531606	0.0848394	0.107875	0.110212	0.00927967	0.0198394	0.0139529	0.0389375	0.00898058	0.00660952	0.0018496	0.00793446	0.020305	0.0497481	0.000682048	0.0704822	0.0463827	0.0469074	0.0580051	0.106327	0.0580613	0.040178	0.0427843	0.0355042	0.0465869	0.0401574	0.0654874	0.0356477	0.0464555	0.0341734	0.0590047	0.0534829	0.0223645	0.0637005	0.0210773	0.0502571	0.0623232	0.054215	0.0716853	0.0539555	0.0559399	0.0593105	0.0476141	0.0508627	0.0018569	0.0963059	0.0357959	0.0382691	0.0311678	0.0670826	0.0876398	0.138149	0.0302883	0.0446058	0.023897	0.0701638	0.0563871	0.0555071	0.0655427	0.0557399	0.157038	0.109776	0.0520241	0.0809356	0.0671009	0.0564369	0.122032	0.0847477	0.105434	0.0325652	0.0482268	0.0427576	0.003376	0.034789	0.0340944	0.0369181	0.00205555	0.0693934	0.0716718	0.0910967	0.0992937	0.127616	0.00460721	0.0101453	0.0114835	0.0297672	0.00859655	0.0146644	0.0167875	0.0191331	0.023055	0.138574	0.0111149	0.00892218	0.0340717	0.0690298	0.0100989	0.0156862	0.0174054	0.00842313	0.00841095	0.010283	0.0106294	0.0151179	0.0117809	0.0111409	0.00118724	0.019206	0.014793	0.660981	0.0218373	0.0130031	0.0118709	0.0454238	0.00916691	0.00258584	0.0157758	0.0363899	0.0100457	0.014231	0.0241093	0.0147023	0.0045832	0.0151138	0.0126965	0.00876886	0.010413	0.0160841	0.0326515	0.01854	0.00559301	0.0153599	0.045002	0.00404782	0.0445869	0.00678497	0.0287691	0.0145764	0.0379353	0.0027632	0.0104991	0.0148697	0.0096569	0.0131333	0.0261773	0.0358531	0.0149686	0.0342695	0.0147083	0.00908854	0.0122485	0.16496	0.00508208	0.00724836	0.00279687	0.0125222	0.0103684	0.0122017	0.00988275	0.0073171	0.00581703	0.00987789	0.0452117	0.0128202	0.0331653	0.0318284	0.063891	0.0190565	0.00369356	0.011253	0.0244546	0.0315514	0.00846729	0.0249362	0.0275957	0.00522104	0.0111645	0.681123	0.00088301	0.0232342	1.909147	0.398079	0.123901	0.0898237	0.388196	8.888173
80	-557854.5	-557807.1	-47.40734	0.0730477	0.0351935	0.0363991	0.0877124	0.0423851	0.0511996	0.040363	0.0657567	0.0738207	0.0501151	0.0965332	0.0583529	0.0558804	0.0573671	0.0514811	0.179129	0.0203561	0.0202623	0.073036	0.0552425	0.0861528	0.104302	0.103785	0.0087829	0.0213903	0.0139529	0.035342	0.0102266	0.00727023	0.00236866	0.00814655	0.0178842	0.0492536	0.00135476	0.0599208	0.0463827	0.0469074	0.054183	0.105605	0.0580613	0.0426265	0.0427843	0.0355042	0.0472351	0.0449896	0.0686198	0.0385901	0.0441682	0.0338716	0.0543726	0.0534829	0.0233267	0.0637005	0.0221368	0.0502571	0.0623232	0.0481149	0.073213	0.056926	0.0538069	0.0593105	0.0459199	0.0483265	0.000784187	0.0963059	0.0407594	0.0363843	0.0304455	0.0619003	0.0934534	0.108528	0.0303197	0.0515235	0.0869993	0.0730449	0.0542941	0.0538713	0.0655427	0.0557482	0.164109	0.108031	0.0513102	0.0768938	0.067906	0.0551117	0.122032	0.0798864	0.0892394	0.030306	0.0465445	0.0409923	0.00312801	0.0430631	0.0350968	0.0348765	0.00150186	0.0636163	0.0770337	0.0885604	0.0992937	0.127616	0.00969252	0.00846927	0.0100308	0.0291873	0.00695014	0.0125146	0.0121119	0.0155568	0.00362288	0.0739951	0.00957196	0.00778312	0.0345547	0.0368763	0.0119915	0.0200519	0.0170123	0.00529579	0.0119392	0.00960755	0.0134269	0.00854925	0.00745324	0.0127306	0.00140636	0.0185124	0.00979622	0.660981	0.0190148	0.0181163	0.0126071	0.0454238	0.0317903	0.00238414	0.0175465	0.0385724	0.00971262	0.0101603	0.0254681	0.0144792	0.0176549	0.0151838	0.0128817	0.00731514	0.00789075	0.0161649	0.0326515	0.0154245	0.00559301	0.017148	0.0378628	0.00435465	0.019313	0.00823948	0.0281668	0.0123404	0.0221176	0.00280757	0.010023	0.0152264	0.00958553	0.010597	0.0220614	0.0374889	0.0149686	0.0363111	0.0168192	0.00743728	0.00700705	0.0476188	0.0241846	0.00899576	0.00683191	0.0143532	0.00658674	0.0121667	0.0109527	0.00443155	0.00205299	0.00949293	0.0452117	0.0152348	0.0417243	0.0281367	0.0279202	0.0165022	0.0144973	0.00639655	0.0203196	0.0301382	0.007265	0.0304053	0.0252008	0.0050473	0.0110898	0.681123	0.000334022	0.0212416	2.004458	0.398079	0.123901	0.0898237	0.388196	8.595607
90	-555557.4	-555510.5	-46.94843	0.0784295	0.0327505	0.038237	0.0875446	0.0423851	0.0511996	0.040363	0.0642655	0.0738836	0.0501151	0.0944558	0.0570758	0.0593672	0.0626742	0.0514811	0.14444	0.0211034	0.023489	0.0719522	0.0552425	0.0882188	0.108476	0.107498	0.00884475	0.0212291	0.0139529	0.0402721	0.0100429	0.0059154	0.00177071	0.00847426	0.0199828	0.0492536	0.000873412	0.0599208	0.0463827	0.0511144	0.052256	0.10676	0.0580613	0.0426868	0.0407514	0.0324835	0.0537549	0.0409521	0.0686198	0.0385901	0.045823	0.0315456	0.0547157	0.0534829	0.0249661	0.0637005	0.0221368	0.0502571	0.0623232	0.0481149	0.0688518	0.063027	0.0538069	0.0611505	0.0479801	0.0444015	0.00146447	0.0979596	0.0353805	0.0337267	0.0304455	0.0604869	0.0934534	0.108528	0.0321344	0.0484991	0.0895843	0.0703049	0.0560341	0.0538713	0.0588672	0.0552581	0.164109	0.113027	0.0513102	0.0768938	0.067906	0.0551117	0.125654	0.079107	0.0755186	0.0301461	0.0441047	0.0384285	0.00350025	0.0364105	0.0373766	0.0324992	0.00184651	0.0697434	0.0770337	0.0885604	0.0954895	0.127616	0.012896	0.0105192	0.0119746	0.0446164	0.0167253	0.0116569	0.00943215	0.0126354	0.0100938	0.0504928	0.00862095	0.0127112	0.0403643	0.0166943	0.0119493	0.0185478	0.0171461	0.0051198	0.00949778	0.0101811	0.0156535	0.0160536	0.00824014	0.0153298	0.00108798	0.0208908	0.0102019	0.660981	0.0189564	0.0167443	0.0116142	0.0508016	0.0121286	0.00243782	0.0155225	0.034661	0.00829711	0.0110042	0.0254681	0.0120022	0.0178797	0.0171971	0.00932074	0.00914339	0.00756425	0.00306047	0.0317616	0.0161224	0.0064759	0.0166919	0.0305308	0.0138026	0.0159558	0.0106719	0.0263401	0.0126237	0.0156078	0.00294881	0.00972042	0.0141852	0.0114223	0.012031	0.0286634	0.042689	0.0148169	0.0286122	0.0152836	0.00770369	0.00816587	0.028775	0.046104	0.00767123	0.00844919	0.014123	0.00765827	0.0129179	0.0135497	0.00402742	0.0013765	0.00857735	0.0484114	0.0141368	0.0524999	0.0289846	0.0196729	0.0167292	0.0689782	0.0064416	0.018564	0.0301382	0.00538183	0.0330012	0.0246395	0.00565749	0.00700994	0.638889	0.000540578	0.0185952	2.004458	0.376367	0.117144	0.0849247	0.421564	8.549716
