Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	bl[150]	bl[151]	bl[152]	bl[153]	bl[154]	bl[155]	bl[156]	bl[157]	bl[158]	bl[159]	bl[160]	bl[161]	bl[162]	bl[163]	bl[164]	bl[165]	bl[166]	bl[167]	bl[168]	bl[169]	bl[170]	bl[171]	bl[172]	bl[173]	bl[174]	bl[175]	bl[176]	bl[177]	bl[178]	bl[179]	bl[180]	bl[181]	bl[182]	bl[183]	bl[184]	bl[185]	bl[186]	bl[187]	bl[188]	bl[189]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-1299484	-1299340	-143.6038	0.0473452	0.146529	0.0670896	0.224628	0.0596772	0.0302062	0.000165398	0.0124682	0.021842	0.0720295	0.194658	0.42843	0.0506854	0.260663	0.700262	0.278913	0.0154887	0.138279	0.123135	0.0591834	0.0215095	0.0428495	0.118668	0.0838976	0.0992024	0.243807	0.00348147	0.0229771	0.157139	0.0112695	0.0214085	0.0702318	0.119336	0.197888	0.0473095	0.173094	0.264748	0.161358	0.05773	0.0160088	0.0474727	0.0681846	0.0539991	0.192946	0.156257	0.0690239	0.0736523	0.0237869	0.242767	0.305475	0.069253	0.0923896	0.00340561	0.0903988	0.0275905	0.0102807	0.253854	0.00745072	0.00626578	0.0358762	0.00139231	0.0352291	0.247954	0.0843346	0.166694	0.0788429	0.0159218	0.268952	0.15212	0.0250387	0.0447857	0.093813	0.0185786	0.0904138	0.0507954	0.196046	0.100343	0.0440288	0.0276969	0.0824246	0.0740473	0.0871894	0.00488811	0.166183	0.100919	0.0163315	0.0923626	0.0635405	0.0156285	0.0339729	0.104954	0.117516	0.153672	0.00904335	0.259945	0.0800331	0.0552696	0.181334	0.173415	0.0305938	0.0354595	0.134793	0.0970977	0.0555261	0.04883	0.0664878	0.0486017	0.210746	0.0810165	0.100676	0.0140908	0.0938442	0.030896	0.0168888	0.235417	0.0294616	0.0292823	0.0511124	0.248539	0.00735895	0.217658	0.0494799	0.362616	0.00298983	0.010552	0.115455	0.0445017	0.107131	0.028406	0.0982814	0.21824	0.212651	0.0348864	0.0503373	0.00937978	0.168402	0.0553863	0.148714	0.069457	0.00153145	0.00491608	0.317256	0.0169202	0.0314052	0.315166	0.0611522	0.0726692	0.163634	0.0820616	0.252656	0.433119	0.119892	0.116943	0.0797419	0.0626478	0.0523705	0.0125662	0.00818664	0.00758412	0.0774128	0.300082	0.0741976	0.161793	0.1376	0.113982	0.0367984	0.0772385	0.119011	0.174984	0.00520614	0.0443196	0.0868481	0.0108791	0.197549	0.112416	0.0115043	0.110038	0.0113467	0.443911	0.127422	0.136907	0.018665	0.0934853	0.125385	0.0217743	0.0118085	0.00620489	0.0276091	0.131494	0.0328126	0.0313291	0.266054	0.117242	0.145542	0.40702	0.604982	0.0435395	0.134159	0.21732	19.2031
10	-793253	-793153.5	-99.42757	0.0745982	0.0928126	0.0632447	0.586018	0.0390315	0.0493679	0.00172712	0.0532375	0.032618	0.338469	0.244206	0.11463	0.0498346	0.0664726	0.173883	0.226516	0.0371947	0.0520459	0.057526	0.0657129	0.095266	0.0874489	0.125904	0.125837	0.0312561	0.053739	0.0180583	0.0175776	0.157139	0.0385466	0.0531782	0.0498212	0.0667293	0.0419579	0.085575	0.0808739	0.0506156	0.0502688	0.112172	0.0486318	0.0810204	0.105876	0.0603702	0.106968	0.0591584	0.054482	0.0279393	0.0516888	0.0865935	0.102926	0.0532611	0.0811977	0.00860895	0.0375527	0.0719971	0.0212394	0.157214	0.0148343	0.0171476	0.0512394	0.0104171	0.0456312	0.328875	0.0496214	0.111922	0.0535296	0.0539326	0.771299	0.126359	0.14616	0.297045	0.0765382	0.037249	0.154191	0.0787211	0.137458	0.0785623	0.0550964	0.0743071	0.159645	0.112467	0.130531	0.0132384	0.082093	0.22627	0.0753469	0.0326456	0.109254	0.0344018	0.0456282	0.154086	0.131803	0.262849	0.0461208	0.113385	0.145861	0.0205539	0.0800259	0.0298878	0.0128711	0.0383466	0.098763	0.119344	0.043553	0.0174682	0.0862368	0.00871317	0.041759	0.0353653	0.0139944	0.00300056	0.0605706	0.0162801	0.0897698	0.0550372	0.028697	0.0467615	0.0174422	0.0966363	0.0036438	0.110498	0.0127928	0.0620254	0.0015388	0.00347606	0.0375278	0.127153	0.0553781	0.00871631	0.0109063	0.0136166	0.0757979	0.0088853	0.0218903	0.000966553	0.139169	0.0374318	0.0807359	0.05448	0.00420074	0.00786212	0.137352	0.0248812	0.0658371	0.149159	0.00541937	0.0506278	0.0967722	0.0310933	0.105232	0.273908	0.0451609	0.020808	0.0132513	0.0208525	0.0160051	0.00971413	0.0163039	0.0109798	0.0922801	0.152124	0.0150036	0.0543809	0.089442	0.0907036	0.188693	0.00707876	0.0551823	0.0448012	0.013105	0.0471019	0.00686423	0.0166224	0.213713	0.0556229	0.00548605	0.302811	0.00310704	0.228819	0.0579076	0.0602088	0.00973934	0.0638197	0.109981	0.00617813	0.00525223	0.00575105	0.00760632	0.119376	0.0614227	0.0743709	0.183975	0.158018	0.269509	0.252704	0.407152	0.127742	0.0674464	0.39766	14.78548
20	-654954.4	-654872.7	-81.75129	0.0826054	0.0921415	0.0603388	0.723983	0.0371138	0.0533181	0.0153157	0.0643773	0.0788069	0.706642	0.0850646	0.0688472	0.0473999	0.0664726	0.0696818	0.15873	0.0200723	0.0287091	0.0568443	0.0752338	0.111092	0.0886714	0.120251	0.113995	0.0274639	0.0395479	0.0221116	0.0222625	0.0338796	0.0502768	0.0318737	0.019856	0.0507075	0.0115839	0.085575	0.0800436	0.0511951	0.0529393	0.112172	0.0525018	0.0566656	0.0730357	0.0522618	0.0445002	0.052459	0.0594424	0.0450495	0.0516888	0.0459652	0.0738795	0.0607634	0.0582669	0.0674943	0.0735903	0.0615083	0.0580517	0.0587591	0.0798977	0.0719716	0.054015	0.0340646	0.0458195	0.146964	0.0271013	0.0805487	0.0399358	0.078408	0.651592	0.127921	0.150007	0.6982	0.0591084	0.0860523	0.106953	0.0548071	0.146663	0.0742858	0.074204	0.0532467	0.151197	0.120419	0.101185	0.0567827	0.0590414	0.0521977	0.109223	0.10619	0.109254	0.0321443	0.0157467	0.0615149	0.131803	0.125695	0.110295	0.0632191	0.524686	0.00584298	0.0189389	0.0206945	0.00647141	0.0327348	0.0457158	0.0178562	0.0207201	0.0146226	0.0344172	0.00660578	0.00370669	0.00722004	0.0104053	0.00450862	0.0163737	0.015353	0.0718794	0.0164172	0.0375017	0.095214	0.00760797	0.0295384	0.00159315	0.0743032	0.00608421	0.0323675	0.00407839	0.00229002	0.016544	0.0520574	0.0217762	0.0189329	0.00376601	0.00397001	0.0222634	0.0161958	0.00940588	0.00579878	0.0388993	0.0491398	0.040092	0.0455205	0.0211085	0.0047802	0.0876269	0.0114728	0.0239489	0.00957105	0.00258748	0.0235149	0.052777	0.0141805	0.0663123	0.100926	0.0321455	0.0314843	0.00625083	0.0019969	0.00557856	0.041724	0.00454868	0.0168929	0.0627354	0.0782977	0.00160514	0.0141957	0.0251865	0.0155718	0.108262	0.00662868	0.0187163	0.0145652	0.0118016	0.0244717	0.00430966	0.0330162	0.0452604	0.0340669	0.017581	0.078944	0.00197564	0.626718	0.0219302	0.159843	0.00553717	0.0310349	0.046377	0.00202037	0.00124484	0.0202592	0.00795266	0.297455	0.0527421	0.314086	0.218031	0.0556722	0.266062	0.0934068	0.377437	0.145319	0.0905008	0.386742	13.01786
30	-592736.5	-592677.1	-59.38546	0.0599316	0.075085	0.0603388	0.418511	0.0427316	0.0533945	0.0500256	0.0751739	0.0858115	0.58244	0.0878275	0.0655118	0.0787575	0.0587602	0.067092	0.145173	0.02099	0.0230567	0.0689553	0.0686417	0.117671	0.100136	0.0986394	0.0125728	0.0192309	0.0344772	0.0393649	0.02204	0.0304324	0.0180621	0.0190752	0.0228409	0.0596181	0.00173416	0.0797255	0.0668905	0.045845	0.0589806	0.113052	0.0525018	0.0568435	0.0424592	0.0522834	0.0458448	0.0467494	0.0745019	0.0409086	0.0781999	0.045723	0.0785626	0.0607634	0.0534822	0.0665771	0.0452667	0.0899868	0.060571	0.0587591	0.0863898	0.0860516	0.054015	0.0536234	0.0772983	0.0737408	0.0146675	0.104367	0.0399358	0.0827479	0.651592	0.0967897	0.150848	0.154148	0.0537789	0.0725079	0.0913403	0.063147	0.146663	0.0582413	0.074204	0.0431885	0.156705	0.120419	0.0815206	0.056959	0.0590414	0.0540757	0.108349	0.148788	0.0833277	0.0354762	0.0320493	0.0384727	0.0581487	0.126953	0.0416566	0.0751511	0.698502	0.00931403	0.00447137	0.0168422	0.00187701	0.0360169	0.0328591	0.0146381	0.0107854	0.0111598	0.0170792	0.00579384	0.00667119	0.0067664	0.014851	0.0101569	0.018577	0.00762373	0.0592813	0.018814	0.0387571	0.188392	0.00468326	0.0189891	0.000905472	0.0405315	0.00639053	0.0210883	0.00229107	0.00392855	0.00475703	0.0228312	0.0160023	0.0115297	0.00509933	0.00652275	0.0234866	0.00399365	0.00976161	0.0131775	0.0346363	0.02679	0.0271991	0.0132745	0.0616716	0.00205612	0.0351482	0.00716637	0.0519325	0.00631407	0.00670549	0.0217406	0.0175537	0.0145002	0.031236	0.0510863	0.027225	0.0268832	0.0143092	0.00281862	0.00388582	0.0265048	0.00417702	0.0183222	0.0326012	0.0136717	0.00489202	0.0152659	0.0150713	0.0255826	0.0397785	0.0121586	0.0143668	0.00850161	0.00764933	0.0163224	0.00392712	0.0142869	0.00891687	0.0148411	0.0147379	0.0319385	0.00369475	0.317126	0.0108699	0.128489	0.00788391	0.0163062	0.0348407	0.00444377	0.00127485	0.0128258	0.0187635	0.146948	0.0577563	0.328351	0.227934	0.0582007	0.278146	0.049613	0.377437	0.145319	0.0905008	0.386742	10.78127
40	-570875.2	-570830.1	-45.06006	0.0705636	0.075085	0.0657314	0.11254	0.0427316	0.0498204	0.0443838	0.0745977	0.0839451	0.460463	0.0783465	0.0748687	0.0476753	0.0615807	0.0674528	0.12759	0.02099	0.0236225	0.08171	0.0686417	0.072875	0.092193	0.0986394	0.00872406	0.0192309	0.0151096	0.0408049	0.0221982	0.0133689	0.0038567	0.0100063	0.0218004	0.0569094	0.000614906	0.0797255	0.0668905	0.0567576	0.052981	0.11783	0.0630806	0.0411376	0.0403154	0.0482603	0.0498241	0.0415596	0.0732235	0.0416484	0.0617015	0.0457741	0.097563	0.0568883	0.0227012	0.0665771	0.0210227	0.0565693	0.060571	0.056304	0.0828937	0.0929232	0.049085	0.0552929	0.0541337	0.048641	0.00274729	0.093346	0.0404163	0.0704795	0.399772	0.0825385	0.150848	0.0984625	0.0283825	0.0818836	0.0913403	0.067842	0.146663	0.0662397	0.0572663	0.0334337	0.156705	0.112754	0.0868824	0.0745425	0.0638005	0.0545421	0.117718	0.114904	0.0878856	0.0347928	0.047627	0.0384727	0.0516022	0.0378391	0.0357004	0.0319662	0.698502	0.00560429	0.0127236	0.0204136	0.00274729	0.0331507	0.0456974	0.00797646	0.00142471	0.00659463	0.0133376	0.0223035	0.0018202	0.00447904	0.0146725	0.00855654	0.0363642	0.0151501	0.0557262	0.00917797	0.030807	0.431053	0.00872993	0.0167288	0.00214817	0.0250441	0.00528741	0.00409827	0.0070501	0.00408203	0.00947201	0.00819827	0.00685327	0.00689333	0.0167331	0.00502321	0.0168905	0.00699677	0.00824221	0.0124435	0.0796999	0.010018	0.0197792	0.0161263	0.0721233	0.00151833	0.0111348	0.0144018	0.0607975	0.0148876	0.0108279	0.0128662	0.0108295	0.0329299	0.00960126	0.0379877	0.0110438	0.0459755	0.0115901	0.00583471	0.00348658	0.00915757	0.0112575	0.0137926	0.0144148	0.00983517	0.0144983	0.0105371	0.0109606	0.0243558	0.0115914	0.00912723	0.0127711	0.00339417	0.00423101	0.00748903	0.0021106	0.00385079	0.00362516	0.0109907	0.0128343	0.0300789	0.00955166	0.140633	0.00713975	0.0882624	0.00621907	0.0194118	0.0368359	0.0116628	0.00105107	0.0157518	0.0172817	0.0514267	0.0623407	0.275039	0.246026	0.0628203	0.300223	0.0535509	0.375821	0.144697	0.116058	0.363425	9.348733
50	-549840.2	-549793.9	-46.20704	0.0765554	0.0317498	0.0407863	0.122212	0.0425169	0.0513243	0.0488966	0.0737555	0.0839451	0.803091	0.0783465	0.0682259	0.0573454	0.0662001	0.0600223	0.12759	0.0205156	0.0236225	0.0795608	0.0686417	0.08639	0.092193	0.0994043	0.00594496	0.0236512	0.0151096	0.038501	0.016959	0.0153488	0.00379844	0.0100063	0.0218004	0.051311	0.00109491	0.0753781	0.0668905	0.0532596	0.0588658	0.120836	0.0630806	0.0379066	0.0422593	0.035401	0.0530852	0.0327992	0.0674825	0.0354394	0.0584936	0.0487089	0.093614	0.0534477	0.0227012	0.0623321	0.0198763	0.0565693	0.0603911	0.0512256	0.0698233	0.059345	0.049085	0.0645321	0.0483201	0.0488916	0.00188442	0.0980196	0.0399402	0.0620891	0.205673	0.0555456	0.121619	0.101494	0.0291118	0.0460064	0.0939891	0.0667679	0.142514	0.0590957	0.0727156	0.054561	0.148624	0.1164	0.0491487	0.0743957	0.0661084	0.0545421	0.113237	0.0969138	0.0794714	0.0259972	0.0442333	0.036944	0.0516022	0.0388009	0.0323275	0.0392269	0.843678	0.00575554	0.00609886	0.0250574	0.00539298	0.0456025	0.0377625	0.011695	0.00219797	0.00921481	0.00948689	0.0333432	0.00567297	0.0105841	0.0146725	0.0143196	0.0200707	0.0123621	0.054719	0.0137565	0.0233689	0.73181	0.00864661	0.0166667	0.00425022	0.0260135	0.00528602	0.0051904	0.00247626	0.00527829	0.0109896	0.0111348	0.0105604	0.0117777	0.0166498	0.00436598	0.00755131	0.00499914	0.00865402	0.011847	0.0487419	0.0146848	0.0284416	0.0159369	0.0816264	0.00370867	0.0111348	0.00838071	0.0638958	0.00923995	0.0131317	0.0113751	0.00863503	0.00691691	0.00982283	0.0141699	0.014736	0.0459755	0.0174782	0.00868879	0.00543705	0.0145984	0.0096601	0.0258391	0.0131928	0.0111507	0.0165813	0.0104951	0.00929391	0.0149016	0.0124671	0.00379582	0.0119609	0.00417346	0.00639656	0.0050576	0.00418055	0.00976151	0.00330764	0.00759771	0.0155125	0.0256817	0.0277485	0.0196072	0.0070718	0.0686098	0.00753065	0.0194745	0.0339471	0.0108094	0.000896819	0.0166237	0.017301	0.0116296	0.0635194	0.280239	0.250678	0.0451005	0.3059	0.0545635	0.375821	0.144697	0.116058	0.363425	9.463431
60	-538808.5	-538765.8	-42.69055	0.0765554	0.0317498	0.0354642	0.102022	0.0462018	0.0513426	0.0342242	0.0670358	0.0784889	0.785988	0.0783465	0.0613902	0.0553292	0.0559068	0.0498823	0.111807	0.0205156	0.0225891	0.0716665	0.0686417	0.0854422	0.092193	0.103657	0.00742841	0.0201825	0.0151096	0.038501	0.0112512	0.00745442	0.00379844	0.00844615	0.0218004	0.051311	0.000473064	0.0753781	0.0683896	0.051033	0.0565432	0.122222	0.0608958	0.041752	0.0455581	0.0325235	0.0529734	0.0466458	0.0674825	0.0387158	0.0472759	0.0370913	0.0940709	0.0528466	0.0232461	0.0623321	0.0202709	0.0565693	0.0602957	0.0536688	0.0714967	0.059345	0.0516726	0.054999	0.0502781	0.0471096	0.000786083	0.0928155	0.037806	0.0620891	0.0821988	0.062711	0.121619	0.107669	0.0291641	0.0467194	0.0962375	0.0731353	0.157313	0.0561184	0.0666007	0.0538144	0.151743	0.123787	0.0493106	0.0664962	0.0648615	0.0559265	0.109996	0.0969138	0.0794714	0.0302997	0.0461001	0.0374317	0.0516022	0.0392679	0.03777	0.0362382	0.784549	0.0102445	0.00252207	0.0180027	0.00805162	0.0356504	0.0379068	0.0110272	0.00467833	0.00961359	0.00845519	0.00770939	0.009731	0.00893126	0.0146725	0.00768154	0.0163814	0.0172886	0.0483284	0.0182175	0.0352593	0.73181	0.00669623	0.0129158	0.00900655	0.0182766	0.00794337	0.0108662	0.00316272	0.00550346	0.0105947	0.0110854	0.0141973	0.00806046	0.0171823	0.00491629	0.00546503	0.0050158	0.0203192	0.0108778	0.0265725	0.0239269	0.0209533	0.0106871	0.0795526	0.00744922	0.0119149	0.0119412	0.0440875	0.00584903	0.0135537	0.00892588	0.0200153	0.00238185	0.00595359	0.0227518	0.0115345	0.0209481	0.00428081	0.0098233	0.00487176	0.0394756	0.0116643	0.023805	0.0290111	0.0111507	0.00678574	0.0256516	0.00672867	0.0122019	0.018037	0.0154932	0.00890076	0.00636123	0.0080207	0.00756962	0.00702079	0.00753307	0.00285904	0.00720788	0.0144069	0.0214436	0.0309638	0.012233	0.0187062	0.0415622	0.00749447	0.0196715	0.0339471	0.00935507	0.00634667	0.0169688	0.0139801	0.0135612	0.059333	0.288368	0.257949	0.0464087	0.314773	0.0331677	0.34095	0.15278	0.122542	0.383728	9.111782
70	-533989.3	-533950.2	-39.10942	0.0765554	0.0311316	0.0354642	0.0819197	0.0442152	0.0459416	0.038561	0.0606261	0.0784889	0.718936	0.0807006	0.0691115	0.0553292	0.056908	0.0584431	0.111363	0.0205156	0.0250483	0.0716244	0.0543693	0.0890044	0.0977705	0.113881	0.00851161	0.0201825	0.0144288	0.0423249	0.0102031	0.00637467	0.00268433	0.00835775	0.0296007	0.0466768	0.000729721	0.0647077	0.0602276	0.0483932	0.0569801	0.101043	0.057335	0.041752	0.0443286	0.0331391	0.0529734	0.0445472	0.0669765	0.0394204	0.0481261	0.03369	0.0759581	0.0520256	0.0247414	0.0623321	0.0212875	0.0538784	0.0588629	0.0546087	0.0714967	0.0584147	0.0560039	0.0614569	0.0502781	0.0460378	0.000539612	0.102503	0.0371085	0.0377538	0.0332984	0.062711	0.0830039	0.108174	0.0307773	0.0467194	0.0908808	0.0645834	0.150641	0.0561184	0.0626061	0.0538144	0.134624	0.118553	0.0544131	0.0744827	0.0648615	0.0559408	0.119483	0.0767966	0.0800175	0.0283662	0.041953	0.0386683	0.0523349	0.0392218	0.0408551	0.0371843	0.779357	0.00891541	0.000421411	0.0180027	0.00893535	0.0337734	0.0175624	0.0125534	0.0152397	0.00763211	0.00743899	0.00519958	0.012681	0.010482	0.0132508	0.0080887	0.0179499	0.00862584	0.0463079	0.0331942	0.0352593	0.640646	0.0115756	0.0126334	0.00537908	0.0114809	0.0147415	0.0142986	0.00254573	0.00633464	0.00949079	0.00662097	0.0122949	0.00881128	0.00821956	0.00274468	0.00215737	0.00771302	0.013609	0.0161688	0.0200335	0.0216858	0.0187636	0.0093631	0.0762803	0.00917929	0.0120973	0.0141137	0.0329555	0.00408875	0.0135612	0.0119249	0.0206549	0.00192986	0.015771	0.022704	0.0157458	0.0159849	0.00389367	0.0106288	0.0110011	0.0710496	0.0196745	0.0232436	0.0238606	0.0095309	0.00445031	0.0190297	0.0115495	0.0112406	0.0177775	0.0228194	0.0101721	0.00570112	0.0039619	0.00808062	0.00509892	0.0269868	0.00287419	0.00980507	0.0107417	0.0218769	0.0357726	0.0145496	0.021068	0.0218059	0.00659886	0.0161408	0.0334439	0.00819298	0.0113299	0.0189124	0.0131286	0.0165069	0.0572861	0.27842	0.24905	0.0448077	0.338412	0.0320235	0.340479	0.153951	0.122372	0.383198	8.753669
80	-522731.5	-522694.1	-37.40863	0.0750906	0.0315276	0.0352504	0.0863515	0.0442152	0.0504792	0.0341766	0.0614065	0.0808747	0.518873	0.0908037	0.0636227	0.0496852	0.056908	0.0556101	0.121888	0.0216092	0.0228986	0.0703643	0.054207	0.0911891	0.100344	0.104026	0.010667	0.0194974	0.0144288	0.0386482	0.0102031	0.00641291	0.00273215	0.00939739	0.0321846	0.0514663	0.00124761	0.0647077	0.0456671	0.0483932	0.0569801	0.107045	0.0571195	0.037859	0.0433835	0.0331391	0.0517211	0.0439776	0.0602804	0.0410563	0.0481261	0.0368157	0.0528616	0.0520256	0.0234104	0.0629399	0.0227966	0.0529518	0.0589457	0.0546087	0.0763388	0.0581907	0.0516263	0.0625219	0.0503228	0.0465321	0.00110436	0.0886737	0.0380509	0.0389048	0.0381394	0.0627918	0.0919547	0.107434	0.0342025	0.0482311	0.0908808	0.0641242	0.121215	0.0583244	0.0688299	0.0538144	0.135344	0.116191	0.0533576	0.0698386	0.0631793	0.0544858	0.119483	0.0841598	0.0797961	0.0296372	0.0483894	0.0365728	0.0523349	0.0385092	0.039626	0.0368694	0.779357	0.0118073	0.000652937	0.023812	0.00846337	0.0337734	0.0178477	0.0142025	0.0161692	0.00716077	0.0112427	0.00691495	0.0143087	0.00942797	0.0134405	0.00805439	0.0176685	0.00647084	0.0468076	0.0357836	0.0329907	0.714228	0.00514908	0.0104858	0.00608924	0.0073927	0.0146008	0.0108067	0.000887549	0.00630413	0.0133786	0.00629782	0.0137536	0.00809932	0.00399527	0.00391229	0.0102662	0.0078555	0.00764668	0.00764633	0.0159721	0.0180604	0.0160502	0.0160329	0.076875	0.0178232	0.0120973	0.0146857	0.0332037	0.00678408	0.0135612	0.0121683	0.0222171	0.015974	0.0162885	0.025532	0.0157458	0.0174667	0.0106856	0.0123231	0.00255076	0.0710496	0.011723	0.0237057	0.00845438	0.0104227	0.0093877	0.0128384	0.0121948	0.00898611	0.0161104	0.0185644	0.0117051	0.00369876	0.00639639	0.00802361	0.00533159	0.0150155	0.0026566	0.0137694	0.015472	0.023045	0.0319585	0.0141878	0.0214985	0.0208851	0.00781421	0.0188855	0.0317679	0.0103861	0.0185071	0.0189124	0.0139522	0.0139513	0.0545238	0.276952	0.247737	0.0426126	0.336628	0.0415464	0.345574	0.156255	0.124204	0.373968	8.58359
90	-509089.8	-509058.7	-31.06479	0.0812814	0.0328862	0.0381598	0.0888112	0.0450081	0.0507134	0.0367248	0.0674242	0.0845559	0.114782	0.0996166	0.0670524	0.0471709	0.0593936	0.0514435	0.106836	0.0215579	0.0228986	0.0703643	0.052907	0.0912939	0.100344	0.107901	0.00997288	0.0194974	0.0144288	0.0386482	0.00909226	0.00641291	0.00143068	0.00939739	0.0192081	0.0494441	0.000709692	0.065796	0.0480936	0.0492346	0.0569801	0.109068	0.0571195	0.0385223	0.0430451	0.0331391	0.0547709	0.0439776	0.0602804	0.0389394	0.0485788	0.0368157	0.0528616	0.0538336	0.0229474	0.0629399	0.0233368	0.0512553	0.0612317	0.052498	0.0763388	0.0593868	0.0516263	0.0625219	0.0503228	0.0465321	0.00163698	0.102335	0.0375181	0.0385032	0.0311672	0.0627918	0.0919547	0.107434	0.0308165	0.0503189	0.0932458	0.0724602	0.0898625	0.0528655	0.0688299	0.0538144	0.135344	0.116191	0.0533576	0.0688527	0.0634591	0.0544858	0.119483	0.0829029	0.0840276	0.0275123	0.0450009	0.039834	0.0523349	0.0401277	0.0377721	0.0368694	0.441398	0.0131584	0.00134074	0.0188625	0.00593383	0.0323815	0.0160816	0.013073	0.0156538	0.00658602	0.00919398	0.0133051	0.0135637	0.010493	0.0125939	0.00744201	0.0187138	0.00663766	0.0468076	0.0264468	0.0332954	0.773399	0.0110145	0.0104858	0.00902211	0.00728604	0.00909191	0.0126836	0.00290284	0.0046279	0.0303531	0.00590302	0.0155303	0.007783	0.0175075	0.01122	0.0118835	0.00730195	0.0102842	0.0157182	0.0152124	0.0121554	0.0162623	0.0122236	0.076875	0.0178232	0.0120724	0.00761133	0.0343744	0.0054574	0.013364	0.00937464	0.0250808	0.0300135	0.015517	0.0265582	0.0225103	0.0137187	0.0149967	0.00735449	0.00980494	0.0584441	0.0100546	0.0263498	0.00930222	0.00834577	0.0178275	0.0127498	0.0202786	0.0114026	0.0161104	0.0204859	0.0117051	0.00676767	0.0108845	0.0089512	0.00441491	0.0129547	0.00234641	0.0164499	0.0150714	0.023045	0.0330796	0.0154328	0.0246794	0.021967	0.00664988	0.0180676	0.0353846	0.00770517	0.00690579	0.0177536	0.0145308	0.0153127	0.0545238	0.276952	0.247737	0.0426126	0.336628	0.0415464	0.345574	0.156255	0.124204	0.373968	7.949206
