Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-918626.3	-918550	-76.3577	0.362943	0.0705925	0.226186	0.142643	0.0659271	0.00365097	0.169618	0.0807769	0.0354998	0.0585626	0.0743326	0.0164535	0.0640842	0.0795933	0.0125511	0.168105	0.104149	0.0245856	0.0943528	0.125854	0.063035	0.0118167	0.0732385	0.115611	0.0328543	0.0548464	0.147401	0.227912	0.0172307	0.0545429	0.0961197	0.0159909	0.0264609	0.0392395	0.213864	0.0672339	0.0919896	0.0340526	0.0110182	0.129479	0.117558	0.0175898	0.212809	0.0550261	0.131632	0.0577526	0.0485892	0.0485645	0.00446227	0.219501	0.081587	0.0481636	0.14222	0.0143862	0.143958	0.313609	0.100565	0.0604888	0.154026	0.245784	0.0165856	0.0108812	0.039207	0.0274439	0.12702	0.357966	0.0679907	0.0226408	0.023873	0.0424856	0.0428453	0.00785425	0.02546	0.0794367	0.162081	0.243007	0.0933007	0.0874956	0.0414524	0.103517	0.170683	0.0129024	0.0601763	0.0674996	0.0270118	0.18413	0.016271	0.013914	0.0808709	0.0332063	0.0086418	0.00473116	0.256185	0.174188	0.13032	0.0096433	0.215094	0.108367	0.0874691	0.0500435	0.0695163	0.0519283	0.0303715	0.0655458	0.0373059	0.0628131	0.183424	0.192877	0.0268957	0.255901	0.229805	0.0270073	0.28406	0.0703327	0.268735	0.0299557	0.0312201	0.0190459	0.190668	0.20847	0.0346049	0.00686353	0.0885454	0.0401728	0.0326419	0.0255497	0.0752125	0.125412	0.0144048	0.12665	0.171241	0.0117972	0.169052	0.0585832	0.0392434	0.0208141	0.0349076	0.0823032	0.0268207	0.126062	0.0236903	0.256753	0.0722731	0.0329498	0.115335	0.0147564	0.117568	0.0335818	0.117057	0.0763534	0.383228	0.347211	0.0538822	0.100076	0.0392483	0.234753	0.312627	0.280341	0.172279	13.48728
10	-634385.9	-634337.8	-48.12277	0.115903	0.0648288	0.0701814	0.0564987	0.207429	0.0127022	0.145884	0.188968	0.0497916	0.037919	0.126373	0.0655416	0.0451442	0.0812711	0.111268	0.0725581	0.0990822	0.0234506	0.01864	0.0567878	0.0340107	0.0138111	0.0657179	0.034706	0.0905192	0.122656	0.0376429	0.148481	0.0235207	0.0581583	0.157269	0.0190614	0.0432619	0.12078	0.0987226	0.0523432	0.155236	0.068082	0.015296	0.108151	0.0809101	0.0492605	0.0980752	0.0550261	0.0443613	0.0481084	0.0421318	0.0747217	0.0111149	0.530967	0.424463	0.0971391	0.227435	0.0720324	0.125689	0.0945776	0.0737937	0.0719501	0.0671295	0.146928	0.0433829	0.0568219	0.0429119	0.0334971	0.124775	0.614511	0.391082	0.0576122	0.045409	0.123552	0.0798095	0.0203458	0.0728141	0.0830771	0.144361	0.117682	0.0293583	0.0326767	0.0138005	0.0472328	0.0274705	0.00382	0.0229894	0.0103554	0.00886358	0.0436989	0.0122495	0.0103051	0.0435975	0.025388	0.00268987	0.00513484	0.0509368	0.0476553	0.119576	0.00493121	0.135414	0.0560071	0.0127484	0.035603	0.0251288	0.0221742	0.0156342	0.0123909	0.00510637	0.00280567	0.234427	0.075282	0.0398979	0.0926513	0.0354102	0.026183	0.190014	0.02108	0.0603159	0.0263762	0.00714484	0.00876544	0.14322	0.199984	0.00760566	0.0023678	0.0427632	0.015666	0.0074872	0.0138965	0.0533531	0.0514174	0.0244691	0.032922	0.0963214	0.00309019	0.044335	0.0223681	0.0613542	0.0114435	0.0171075	0.0260027	0.00454215	0.0814081	0.00451171	0.0650068	0.141725	0.0210566	0.0187742	0.0161684	0.0341603	0.0819213	0.00894669	0.0857279	0.173095	0.329164	0.0312678	0.336679	0.0440671	0.284451	0.168354	0.211833	0.335363	10.66379
20	-535536.6	-535501.6	-34.99225	0.0628196	0.069289	0.0546774	0.0435866	0.0797157	0.0553188	0.0986441	0.111822	0.0625718	0.045604	0.0550838	0.0908121	0.0280735	0.0812711	0.0876516	0.0737371	0.0990822	0.0263166	0.0192566	0.0611637	0.0344981	0.0107554	0.0358654	0.0257616	0.100664	0.102873	0.0457143	0.106735	0.0465835	0.0746166	0.333017	0.0722766	0.0382833	0.124458	0.0987226	0.0531703	0.134534	0.0811796	0.032045	0.0610797	0.0809101	0.0719209	0.0957934	0.0632677	0.0553225	0.0510804	0.0421318	0.078974	0.0137314	0.188141	0.563812	0.0900931	0.0839871	0.0475257	0.126097	0.104155	0.050657	0.0552169	0.0546075	0.156611	0.0513501	0.0593504	0.0521089	0.102321	0.106219	0.624959	0.439442	0.0483099	0.0533656	0.136735	0.0879763	0.0562874	0.0850594	0.0828314	0.0857618	0.129393	0.00862985	0.00316014	0.00615309	0.0368063	0.0113788	0.00238737	0.0232843	0.00622093	0.00714104	0.00718098	0.0173338	0.00689967	0.0423878	0.0139895	0.00191837	0.0079282	0.00321083	0.0138277	0.0865155	0.0116002	0.0122497	0.0527365	0.00819567	0.0250997	0.0224689	0.0182669	0.0211183	0.0198378	0.00970698	0.00407828	0.029847	0.0454363	0.0230467	0.0520036	0.0203819	0.0219417	0.102126	0.00826555	0.0141916	0.0171329	0.00353377	0.0104493	0.0340699	0.0246207	0.00789119	0.00411529	0.0911773	0.035451	0.011313	0.00869677	0.0175608	0.0253684	0.0351859	0.0120111	0.0266564	0.00576028	0.200892	0.0134855	0.0161097	0.0106298	0.0121784	0.0100969	0.01531	0.0654262	0.00203254	0.0235704	0.171041	0.00906067	0.00830001	0.00957891	0.0412054	0.345074	0.00196641	0.104846	0.167233	0.250051	0.0585242	0.35699	0.0623561	0.392572	0.102371	0.185924	0.319133	9.35074
30	-489701.1	-489678.9	-22.17683	0.0391034	0.0465074	0.065198	0.0456057	0.0587026	0.0723696	0.0613114	0.0880162	0.0625718	0.0462857	0.0584646	0.140768	0.0374622	0.065737	0.0775965	0.0785342	0.0963683	0.0263166	0.0192566	0.0117136	0.039109	0.00585863	0.0143114	0.013153	0.0826252	0.088027	0.0471589	0.0643246	0.0676765	0.0666067	0.122797	0.064301	0.042077	0.142823	0.0766655	0.0531703	0.0813671	0.0748296	0.0418312	0.0543682	0.0878072	0.0719209	0.0825728	0.0632677	0.055302	0.0519474	0.0472139	0.0619282	0.0164889	0.0617552	0.303417	0.0958801	0.0398547	0.0503828	0.12459	0.0691274	0.055843	0.0551651	0.0501968	0.122417	0.0513501	0.0628221	0.0521089	0.102321	0.106219	0.68401	0.277385	0.0228204	0.0756542	0.0835124	0.0313061	0.0597433	0.0850594	0.0837382	0.0828703	0.120385	0.00810344	0.00700333	0.00198415	0.0107191	0.00305547	0.00631745	0.0326695	0.0168322	0.00978484	0.00832374	0.00605202	0.0115758	0.0243539	0.00444951	0.00533335	0.0134385	0.00425437	0.0256151	0.0409086	0.00727428	0.103952	0.0164507	0.011432	0.0075058	0.0164241	0.017822	0.0122288	0.012772	0.0100941	0.00983917	0.0316612	0.0228026	0.0533197	0.00975629	0.0339553	0.00578543	0.0448907	0.0060078	0.00584029	0.0103168	0.00235998	0.00351756	0.0488145	0.0511259	0.00948427	0.00179188	0.021342	0.0171982	0.00785808	0.0233246	0.0210603	0.0254468	0.0240716	0.0180736	0.0120963	0.00700537	0.315747	0.0141246	0.010216	0.0201549	0.00842742	0.0184792	0.02668	0.0301336	0.00507754	0.0108668	0.0444845	0.0138172	0.00863424	0.0369088	0.0223313	0.507099	0.00118519	0.101853	0.17387	0.259975	0.0608468	0.371158	0.0322978	0.385335	0.118919	0.182497	0.31325	8.069197
40	-469826.8	-469806.7	-20.08505	0.0337782	0.0440041	0.0685106	0.0434738	0.0632016	0.0784925	0.0501997	0.0880162	0.0680698	0.0462857	0.0484533	0.131915	0.0315997	0.0695545	0.058256	0.081735	0.0963683	0.0245481	0.0184346	0.0140515	0.042755	0.00899057	0.00639512	0.0130907	0.079958	0.0699678	0.0471589	0.0609985	0.0580375	0.0616377	0.126715	0.0684491	0.045853	0.104428	0.0348057	0.0531703	0.0587174	0.0748296	0.0418312	0.0465792	0.0838632	0.0719209	0.072648	0.0561738	0.0517208	0.0508001	0.0488548	0.0577142	0.034019	0.0618088	0.202095	0.0959755	0.0287976	0.0511246	0.12459	0.0455787	0.0537873	0.0608278	0.0576999	0.128527	0.0513501	0.0664795	0.0521089	0.127776	0.109422	0.68401	0.120452	0.0057463	0.0515075	0.0298312	0.00256886	0.0597433	0.0850594	0.0910686	0.0865298	0.119513	0.0158819	0.0123952	0.00883334	0.0098254	0.00240956	0.021136	0.0293605	0.0195572	0.00675143	0.00612108	0.0102388	0.00618017	0.0158027	0.00273114	0.00801442	0.00827587	0.00526517	0.0318133	0.0304677	0.009179	0.19794	0.0252536	0.0060345	0.00212465	0.0112263	0.00987964	0.0229121	0.0136297	0.00638819	0.0229817	0.0209282	0.0482744	0.0487341	0.00453968	0.0385161	0.00582383	0.0185946	0.00972579	0.00674473	0.0135189	0.00180789	0.0103608	0.0286636	0.0276917	0.00968216	0.00958557	0.00617258	0.0151978	0.0172198	0.0418371	0.0308127	0.0445268	0.0161712	0.0110201	0.00687089	0.0134836	0.587218	0.0187464	0.00628268	0.0178558	0.00714571	0.0175827	0.0206857	0.0109557	0.0149247	0.0104746	0.0340915	0.00492858	0.00143651	0.027409	0.0174498	0.532494	0.000212124	0.0980928	0.1893	0.250377	0.0586005	0.357455	0.0461748	0.399928	0.129207	0.145751	0.325114	7.860019
50	-459195.8	-459174.9	-20.89259	0.0304473	0.0364048	0.071046	0.0374389	0.0701133	0.0780882	0.0690869	0.0880162	0.0680698	0.047249	0.0514367	0.120823	0.0350314	0.0695545	0.0679579	0.0866786	0.096038	0.0163624	0.0187352	0.0148889	0.0388421	0.00847649	0.00821356	0.00727137	0.0754886	0.0549485	0.0461361	0.0462359	0.0579221	0.0665455	0.0951925	0.0661993	0.0463319	0.0442433	0.0332605	0.0531703	0.0499733	0.0742362	0.0434747	0.0445954	0.0838632	0.0719209	0.072648	0.0532496	0.0517208	0.046756	0.0449758	0.0488154	0.0383917	0.0546677	0.0463711	0.087325	0.0276228	0.0497642	0.080332	0.05723	0.0532623	0.0608278	0.0560235	0.13513	0.0505373	0.0612188	0.0569982	0.113208	0.10988	0.68401	0.113204	0.00310113	0.0372161	0.0346299	0.00162542	0.0575165	0.0851898	0.0910686	0.0865298	0.122356	0.00944358	0.00782591	0.011856	0.0114462	0.00165502	0.0284359	0.0163257	0.0128524	0.0159539	0.00772217	0.0118417	0.0104277	0.011083	0.00237107	0.0115441	0.0152504	0.00223951	0.0283746	0.019578	0.00844435	0.651169	0.0259919	0.00609581	0.00863728	0.0180597	0.011133	0.0198063	0.0179423	0.013968	0.0196333	0.0659837	0.0482744	0.019957	0.0024676	0.0385161	0.00373969	0.010233	0.00913568	0.0120647	0.0169358	0.00210417	0.0123516	0.0286636	0.0132879	0.0151303	0.003699	0.00542321	0.0164763	0.0171102	0.0203409	0.0276851	0.0504445	0.00739507	0.00680969	0.00725496	0.0102308	0.587218	0.0179251	0.0085123	0.0258952	0.00733964	0.0231847	0.0164233	0.0162615	0.0181143	0.0104746	0.0132532	0.00714384	0.00220801	0.0194792	0.0250908	0.569857	0.00015718	0.0764334	0.193846	0.25639	0.0600078	0.366039	0.0472837	0.399928	0.129207	0.145751	0.325114	7.940773
60	-451433.6	-451413.7	-19.88989	0.0305682	0.0364048	0.071046	0.0334731	0.0646083	0.0792583	0.061542	0.0880162	0.0647604	0.0445895	0.0514367	0.123743	0.034388	0.0731898	0.0530983	0.0839743	0.096038	0.00985181	0.019787	0.0152098	0.035769	0.0105869	0.00625916	0.00675023	0.0494691	0.00906916	0.0461361	0.0489222	0.055372	0.0665455	0.107605	0.0661993	0.0413132	0.0462969	0.0361246	0.0514412	0.0499733	0.0645111	0.0434747	0.0520339	0.0838632	0.0719209	0.1116	0.0532496	0.0551778	0.0490171	0.0451956	0.0192682	0.0381992	0.0489359	0.039203	0.0967328	0.0314762	0.0495731	0.0643476	0.05723	0.0518466	0.0624835	0.0560235	0.14699	0.0505373	0.0769674	0.0517024	0.121712	0.087393	0.68401	0.0821606	0.00310113	0.0353245	0.0346299	0.00211949	0.0800045	0.0687189	0.0910686	0.0923636	0.127384	0.011764	0.00992952	0.0116814	0.0104757	0.00437573	0.0313516	0.0136224	0.0136398	0.0159539	0.00702365	0.00871934	0.00547141	0.01048	0.00764904	0.0133952	0.0133966	0.00393216	0.0190681	0.0472431	0.00927142	0.575004	0.01939	0.0120116	0.0212326	0.0525262	0.012914	0.0196594	0.00880274	0.0142591	0.0202614	0.0614386	0.0506037	0.0185299	0.00420889	0.0474948	0.00872918	0.0112639	0.0105869	0.0108069	0.0210053	0.00259664	0.00920333	0.0286636	0.0110326	0.0165149	0.00368315	0.0049471	0.0158368	0.0178813	0.0106534	0.0344033	0.0161205	0.0201298	0.0077224	0.00686572	0.0147585	0.603633	0.0138484	0.00845122	0.0258952	0.0156788	0.0134305	0.00678648	0.0149042	0.0102532	0.00928431	0.0207245	0.00723802	0.00852364	0.0137199	0.0206404	0.606626	0.00031355	0.057274	0.209863	0.242745	0.0552116	0.396284	0.038622	0.378761	0.133765	0.150892	0.336582	7.840503
70	-441460.3	-441444.7	-15.61526	0.0305682	0.0386316	0.067647	0.0358332	0.0604815	0.0792583	0.0562929	0.0884831	0.0647604	0.0451486	0.0516062	0.113938	0.0297671	0.0662069	0.049407	0.0801321	0.0987453	0.00987783	0.019787	0.013691	0.0383834	0.00930986	0.00572375	0.00836972	0.0502866	0.00342468	0.0458647	0.0473172	0.0574559	0.0621867	0.17722	0.0661993	0.0396433	0.046777	0.0379805	0.0562571	0.0499733	0.0596791	0.0434747	0.0503845	0.0838632	0.0719209	0.0777666	0.051242	0.0551778	0.0490171	0.0443374	0.00622162	0.0360034	0.0317165	0.0321701	0.0929534	0.0271744	0.0495731	0.0668649	0.05723	0.0518466	0.0624835	0.0596123	0.14282	0.0515083	0.0687434	0.0537208	0.121712	0.0839388	0.180917	0.0611643	0.00305932	0.0376928	0.0346299	0.00134439	0.0727518	0.0687189	0.0910686	0.0923636	0.127384	0.0125907	0.0213413	0.0116814	0.0104757	0.0068617	0.0260469	0.0136406	0.0164062	0.0125645	0.00787546	0.0122161	0.00758102	0.00997891	0.0081296	0.0112639	0.0178447	0.00941887	0.0370407	0.125147	0.00766579	0.602115	0.0192785	0.0287019	0.0202624	0.0469756	0.0138945	0.0151571	0.00443493	0.0144153	0.0204494	0.0594292	0.0472211	0.0188278	0.00410594	0.0298465	0.0276542	0.00984891	0.00960432	0.0102129	0.0200321	0.00210736	0.0102396	0.0302197	0.0132463	0.0168125	0.00608201	0.0063906	0.0173172	0.0194115	0.00955462	0.0424769	0.0105711	0.0224013	0.00736306	0.0100775	0.0166595	0.603633	0.0154169	0.008074	0.0240542	0.0140637	0.0111032	0.0111888	0.0145782	0.00661126	0.0122419	0.029243	0.00678743	0.0103821	0.0097401	0.0227828	0.606626	0.000458433	0.0613082	0.224645	0.259843	0.0386594	0.374202	0.0413424	0.383792	0.135542	0.139613	0.341053	7.41304
80	-428501	-428490.8	-10.18732	0.0284363	0.0360908	0.0717374	0.0348534	0.0604815	0.0784962	0.0562929	0.0873446	0.0642853	0.0432506	0.0466048	0.113938	0.0311037	0.0662069	0.055948	0.0835308	0.097645	0.0106928	0.0191409	0.0144271	0.0365832	0.0104236	0.00694855	0.00783037	0.0497076	0.000529659	0.0463797	0.0481526	0.0556052	0.0584888	0.10055	0.0676205	0.0397031	0.046777	0.0361032	0.058667	0.0494057	0.0654924	0.0411927	0.0481092	0.0794707	0.0773325	0.065039	0.0547498	0.0592315	0.0506977	0.0449728	0.0024245	0.0360034	0.0370919	0.031959	0.0964035	0.0276564	0.0495731	0.0668649	0.0573272	0.0518466	0.0627115	0.0568266	0.14282	0.0515083	0.0687434	0.0532557	0.121712	0.0790209	0.0399185	0.036831	0.00279236	0.0363083	0.0346299	0.00187054	0.0727518	0.0715529	0.0871359	0.0904441	0.13061	0.0126695	0.0393178	0.0095907	0.0119137	0.00647846	0.0260469	0.0111401	0.0143247	0.0142571	0.00895009	0.0224308	0.00742527	0.0106126	0.00928603	0.0143722	0.0129873	0.0118526	0.0694156	0.0835606	0.00923155	0.602115	0.0154705	0.0287019	0.0187954	0.0487265	0.0118175	0.0195838	0.00336815	0.0123091	0.020604	0.0606777	0.0506072	0.0182861	0.00351384	0.0320468	0.0238332	0.00643267	0.00960432	0.0101019	0.0190425	0.00201069	0.0106039	0.0241409	0.0119338	0.0145434	0.0179932	0.00674958	0.0162009	0.0183098	0.012221	0.0352131	0.00956161	0.0252423	0.00766089	0.00749278	0.0152177	0.320993	0.0154169	0.0103047	0.0207766	0.0131087	0.00726519	0.00734809	0.0154103	0.00490112	0.0102913	0.0205329	0.00731195	0.0136786	0.00498148	0.0219161	0.61443	0.000115623	0.0550073	0.226153	0.261587	0.0389189	0.376714	0.0416199	0.383792	0.135542	0.139613	0.341053	6.870246
90	-425200.6	-425191.2	-9.318084	0.0349101	0.0360216	0.0697744	0.0359194	0.0604815	0.0784962	0.0525485	0.0896715	0.0609209	0.0498568	0.0466048	0.113938	0.0294629	0.0749813	0.0532483	0.0835308	0.0897966	0.00927708	0.017174	0.0140273	0.0346956	0.0102564	0.00719853	0.00841432	0.0514175	0.000558787	0.0464346	0.0473115	0.0556052	0.0614595	0.0852728	0.0659647	0.0386874	0.0508007	0.037106	0.0575693	0.0494057	0.0613442	0.0437741	0.0481092	0.0796164	0.0693705	0.0716877	0.053893	0.0582502	0.0506977	0.0449728	0.00141087	0.0373671	0.0351349	0.0307062	0.0894802	0.0299394	0.0473247	0.067495	0.0518661	0.0548381	0.0622472	0.0582087	0.159883	0.0470595	0.0678391	0.0532557	0.117625	0.0790209	0.0408028	0.04089	0.00416314	0.0367453	0.0358074	0.00180178	0.0668368	0.0704309	0.0871359	0.0880344	0.126534	0.0122219	0.0370968	0.0139938	0.0134017	0.00818325	0.0295622	0.0132989	0.0131678	0.0118091	0.00688195	0.0224308	0.00902198	0.010373	0.00854802	0.0148469	0.0144031	0.0123339	0.0694719	0.0321299	0.00805842	0.619841	0.0145006	0.0287019	0.0191586	0.0487265	0.0102347	0.0186167	0.00233482	0.0150081	0.0210377	0.025144	0.0506072	0.00321189	0.00441305	0.0322541	0.0233628	0.00786429	0.0105461	0.009061	0.0174704	0.00221561	0.0134671	0.0249359	0.0181416	0.0136787	0.0238048	0.00616359	0.0162009	0.0158034	0.00993984	0.0352131	0.0103134	0.0226435	0.00740176	0.00677728	0.0139563	0.236286	0.0164903	0.00968701	0.0167457	0.012495	0.00749117	0.00829331	0.0156514	0.00589895	0.00966206	0.0228519	0.00610166	0.0130995	0.00787261	0.0219019	0.707963	0.000444201	0.0549107	0.225756	0.261128	0.0406063	0.376052	0.0415469	0.383181	0.136917	0.139391	0.34051	6.783323
