Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	bl[44]	bl[45]	bl[46]	bl[47]	bl[48]	bl[49]	bl[50]	bl[51]	bl[52]	bl[53]	bl[54]	bl[55]	bl[56]	bl[57]	bl[58]	bl[59]	bl[60]	bl[61]	bl[62]	bl[63]	bl[64]	bl[65]	bl[66]	bl[67]	bl[68]	bl[69]	bl[70]	bl[71]	bl[72]	bl[73]	bl[74]	bl[75]	bl[76]	bl[77]	bl[78]	bl[79]	bl[80]	bl[81]	bl[82]	bl[83]	bl[84]	bl[85]	bl[86]	bl[87]	bl[88]	bl[89]	bl[90]	bl[91]	bl[92]	bl[93]	bl[94]	bl[95]	bl[96]	bl[97]	bl[98]	bl[99]	bl[100]	bl[101]	bl[102]	bl[103]	bl[104]	bl[105]	bl[106]	bl[107]	bl[108]	bl[109]	bl[110]	bl[111]	bl[112]	bl[113]	bl[114]	bl[115]	bl[116]	bl[117]	bl[118]	bl[119]	bl[120]	bl[121]	bl[122]	bl[123]	bl[124]	bl[125]	bl[126]	bl[127]	bl[128]	bl[129]	bl[130]	bl[131]	bl[132]	bl[133]	bl[134]	bl[135]	bl[136]	bl[137]	bl[138]	bl[139]	bl[140]	bl[141]	bl[142]	bl[143]	bl[144]	bl[145]	bl[146]	bl[147]	bl[148]	bl[149]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-998194.2	-998099.9	-94.2975	0.106092	0.0508522	0.142302	0.265638	0.109076	0.202787	0.0495668	0.0214427	0.325194	0.0386191	0.0280609	0.0470875	0.0417637	0.0848959	0.0843623	0.00944185	0.0292436	0.23169	0.134132	0.274341	0.239444	0.044473	0.0599124	0.0038238	0.0314362	0.0123425	0.0680558	0.205024	0.0771354	0.0486595	0.483858	0.166543	0.0369773	0.0275392	0.0235434	0.0247261	0.0482868	0.0428339	0.0687262	0.29685	0.0860058	0.0745775	0.164083	0.0401228	0.0112252	0.0630548	0.136011	0.0264441	0.321719	0.127124	0.0801451	0.0471488	0.15374	0.332777	0.260351	0.289606	0.250191	0.145342	0.0375209	0.0246168	0.23312	0.0110824	0.0194572	0.0704434	0.0786166	0.427151	0.0024699	0.104361	0.0278968	0.0795691	0.143972	0.0826591	0.127569	0.0574806	0.0801516	0.00328095	0.141564	0.045381	0.0205332	0.0370693	0.0759799	0.00269692	0.0304051	0.331155	0.00415935	0.0475968	0.275216	0.124606	0.0643063	0.0545763	0.0107073	0.0651952	0.045673	0.360507	0.00894078	0.0323852	0.0287319	0.00365987	0.0845247	0.0139991	0.077733	0.0409114	0.0587346	0.0875572	0.0368374	0.0493711	0.042759	0.11644	0.246723	0.00433578	0.025303	0.130195	0.0388688	0.11862	0.00139754	0.106662	0.0159476	0.0415134	0.0257948	0.0967163	0.342317	0.042253	0.052382	0.152418	0.00258634	0.0349961	0.0373157	0.114633	0.016475	0.0146228	0.205187	0.225364	0.0982753	0.175999	0.0623485	0.0781563	0.390449	0.198528	0.0832262	0.0683483	0.118417	0.106931	0.0182656	0.0251266	0.270073	0.0635666	0.0791133	0.273738	0.150295	0.253663	0.0474759	0.0351789	0.204964	0.0763766	0.382342	0.71423	0.105599	0.0551785	0.124992	15.28126
10	-629966.8	-629918.1	-48.70561	0.0640286	0.0508789	0.118534	0.092256	0.330561	0.0973544	0.0529224	0.101959	0.0999479	0.0459708	0.069864	0.0890522	0.0752336	0.11831	0.104869	0.0583479	0.0791393	0.0331513	0.0155993	0.134888	0.10223	0.0453847	0.0422465	0.0120721	0.0615623	0.0536112	0.113764	0.0797408	0.554756	0.0657922	0.225666	0.152201	0.0352847	0.0880188	0.0962889	0.0626395	0.0438679	0.0612197	0.0403648	0.0965237	0.110404	0.0688393	0.129506	0.0711395	0.0140854	0.0496333	0.194149	0.0699049	0.0480205	0.0883517	0.107309	0.0853732	0.0485618	0.102085	0.0806658	0.117435	0.0532195	0.0552556	0.0648666	0.118633	0.0707943	0.0688163	0.0526903	0.165488	0.11058	0.11138	0.00846992	0.0960943	0.0515996	0.0540345	0.294704	0.0688987	0.0578938	0.0738729	0.0892515	0.0343917	0.093903	0.0333071	0.0185472	0.0121204	0.0058955	0.00498543	0.00951816	0.0700732	0.00168516	0.0557266	0.123288	0.0312017	0.0614955	0.0256609	0.00234698	0.0246021	0.0187904	0.0635093	0.00634122	0.00871797	0.00731325	0.0031946	0.0417228	0.00649389	0.030022	0.0264496	0.0270893	0.0618249	0.0145478	0.0343234	0.0246325	0.0750456	0.504255	0.00433578	0.0140089	0.01558	0.0295652	0.0159063	0.0047827	0.0490976	0.00584365	0.00698566	0.0220923	0.0890718	0.22753	0.0322858	0.0514944	0.0419545	0.00038618	0.0791145	0.0083962	0.18246	0.00630788	0.00773966	0.181851	0.0341905	0.0480191	0.0289083	0.0292098	0.0286451	0.115889	0.140607	0.0210218	0.0245244	0.0414614	0.073222	0.0137088	0.0150789	0.068179	0.304945	0.0255293	0.103476	0.0475381	0.0703281	0.56231	0.0811602	0.123087	0.163115	1.80377e-07	0.330053	0.0715961	0.0405483	0.557803	10.72208
20	-558421.9	-558371.1	-50.72813	0.0326485	0.0354415	0.068514	0.061355	0.666822	0.0798373	0.0511231	0.086974	0.0999479	0.048053	0.0496551	0.0890522	0.0490332	0.0660919	0.136462	0.0916642	0.0941636	0.00872518	0.0197556	0.1224	0.0338999	0.0127981	0.0261987	0.00949253	0.058101	0.0965337	0.0673514	0.0607885	0.746152	0.0558955	0.0408091	0.0611217	0.0436667	0.0669717	0.0962889	0.0661962	0.0539968	0.116201	0.054349	0.0512092	0.104515	0.0701634	0.129506	0.0520603	0.0453555	0.0634692	0.0638213	0.103868	0.0506267	0.0313718	0.0318116	0.104389	0.0348356	0.0555725	0.0681868	0.0730285	0.0581491	0.0704599	0.0590279	0.155569	0.0501071	0.0688163	0.0547079	0.12301	0.112614	0.126755	0.019948	0.106369	0.106012	0.0519686	0.698312	0.0786497	0.0702361	0.0738729	0.0892515	0.130541	0.0201483	0.00728803	0.0185545	0.0199069	0.010002	0.0121404	0.0124915	0.0160166	0.00281416	0.0682295	0.323801	0.0312017	0.0349416	0.00734717	0.00322195	0.0103384	0.0139337	0.0536372	0.010131	0.00330508	0.0133109	0.00527323	0.0122586	0.0202084	0.0186161	0.0153851	0.00694781	0.0291025	0.0264739	0.0284909	0.0148799	0.0128106	0.681235	0.00523861	0.00759427	0.00261097	0.0191621	0.00621159	0.0153086	0.0207578	0.00668408	0.00342137	0.0066738	0.0239963	0.536964	0.0333735	0.0134085	0.0136954	0.000317978	0.151976	0.00953286	0.117191	0.0237594	0.0157682	0.0724487	0.0113772	0.0167071	0.00930513	0.0459418	0.0246397	0.148767	0.0453983	0.00684539	0.0449477	0.0539684	0.018093	0.012774	0.0148783	0.0329123	0.541332	0.0221642	0.0288443	0.0121964	0.0629859	0.417738	0.191205	0.123176	0.204884	1.12098e-05	0.337304	0.149812	0.0626402	0.450243	10.92433
30	-537267	-537211.5	-55.50946	0.0325834	0.0425641	0.106374	0.0396412	0.666822	0.0789193	0.0597753	0.093838	0.0999479	0.048053	0.0475959	0.10646	0.0364767	0.0764719	0.141778	0.0884572	0.0941636	0.0127775	0.0215684	0.033033	0.0395379	0.00958464	0.0173181	0.0105831	0.0532345	0.0822473	0.0673514	0.0523054	0.769796	0.0556361	0.041338	0.065994	0.0437383	0.0486354	0.0873283	0.0753787	0.0506684	0.116201	0.0463071	0.06437	0.077372	0.0680636	0.0853592	0.0520603	0.057113	0.0481597	0.0638213	0.103868	0.0347676	0.0313718	0.0334813	0.111376	0.0371208	0.0516509	0.0681868	0.0568506	0.0619207	0.0714119	0.0551689	0.142308	0.0523025	0.0818666	0.070093	0.123886	0.112614	0.123382	0.0527398	0.106369	0.106012	0.0519686	0.731069	0.0793815	0.0722927	0.0836178	0.091345	0.129236	0.026491	0.00410444	0.0393106	0.0130367	0.0067452	0.0126121	0.00927501	0.0171532	0.00541465	0.0586267	0.571901	0.0203917	0.0271113	0.00880568	0.00495923	0.0034582	0.0113998	0.0247613	0.00921253	0.00597987	0.00737752	0.00898133	0.0145219	0.0328352	0.0288523	0.0398812	0.0092082	0.0205793	0.0186454	0.0229508	0.0133274	0.0106422	0.674138	0.00662426	0.00444264	0.00451653	0.0127759	0.00942373	0.0318731	0.023937	0.00815982	0.0083795	0.00599997	0.00884833	0.536964	0.0379348	0.00352531	0.0127763	0.000322665	0.657777	0.011464	0.0134169	0.0234799	0.0131397	0.0188897	0.0127147	0.0173016	0.00338277	0.0528185	0.0315938	0.0149683	0.04736	0.0294085	0.0364948	0.0425953	0.00604655	0.0279265	0.00640733	0.0278631	0.651675	0.027972	0.0189427	0.00516589	0.0619538	0.366443	0.188316	0.121315	0.261845	0.0001272	0.348638	0.133389	0.0849965	0.432976	11.40246
40	-503480.9	-503435.4	-45.48809	0.035373	0.0356507	0.0439506	0.0393924	0.648699	0.0780567	0.0578827	0.0969965	0.161128	0.0460188	0.0475959	0.106326	0.0310399	0.069011	0.127255	0.0884572	0.0941636	0.0104977	0.0209839	0.0171822	0.0395379	0.00906723	0.00628717	0.00848264	0.0537506	0.079704	0.0463968	0.0485684	0.769796	0.0506906	0.041338	0.065994	0.0414112	0.0494804	0.0911987	0.0664624	0.0512582	0.0827256	0.0463071	0.06437	0.0819248	0.0680636	0.0888688	0.0520603	0.0578436	0.0490786	0.0503788	0.103868	0.0371428	0.0340229	0.0375556	0.111816	0.0361283	0.0513345	0.0681868	0.0601804	0.0652706	0.0714119	0.0599152	0.142308	0.0523025	0.062007	0.0560058	0.133978	0.12089	0.110721	0.045253	0.103274	0.0595014	0.0501889	0.734064	0.0793815	0.0705654	0.0836178	0.0927245	0.126045	0.026491	0.00297769	0.0409959	0.00935368	0.00704134	0.0126818	0.00702783	0.0210575	0.00812217	0.063868	0.571901	0.0162149	0.0192969	0.00912962	0.0098413	0.0116293	0.0142998	0.00638852	0.0136093	0.00835386	0.0100675	0.011781	0.010681	0.0177999	0.0543769	0.0391291	0.00753452	0.00465487	0.0186717	0.0321208	0.011004	0.0114437	0.423577	0.00948527	0.00249131	0.0111004	0.0182517	0.00983205	0.0323513	0.0271506	0.00791051	0.00897443	0.00710894	0.0273828	0.0707631	0.0214218	0.0056524	0.0196204	0.00125188	0.657777	0.00909394	0.00405033	0.0235368	0.0131397	0.0166767	0.0115774	0.00674436	0.00936622	0.0448402	0.00953256	0.00975823	0.0141188	0.078605	0.0359158	0.043583	0.00125556	0.0242388	0.00116116	0.00428013	0.65575	0.0220131	0.0110048	0.00206598	0.0487265	0.350796	0.209746	0.116135	0.250664	0.0239323	0.356009	0.136209	0.0867936	0.420988	10.40032
50	-473882.4	-473853.6	-28.78161	0.0322158	0.0402769	0.0696283	0.0359887	0.648699	0.0731724	0.0527538	0.0974121	0.161128	0.0501073	0.0471704	0.106326	0.0346629	0.069011	0.0992067	0.0862394	0.0941636	0.0104977	0.020682	0.0127745	0.040676	0.00937671	0.00718227	0.00848264	0.0530025	0.0807638	0.0463968	0.0499971	0.163031	0.0508285	0.0368809	0.0669846	0.0375191	0.0442323	0.0855799	0.0664624	0.0511502	0.0699437	0.0443603	0.0585042	0.0943549	0.0727471	0.0888688	0.052343	0.0609494	0.0522401	0.0469084	0.105308	0.0371428	0.0340229	0.0375556	0.104778	0.0287638	0.0514498	0.102276	0.0601804	0.0634024	0.0714119	0.0581659	0.142308	0.0523025	0.0752727	0.0560058	0.129258	0.11152	0.0851942	0.045253	0.0169271	0.0931506	0.0466323	0.151518	0.0728935	0.0746514	0.0836178	0.0952373	0.126214	0.0239379	0.00438726	0.0428367	0.0138788	0.00749617	0.0120659	0.0050282	0.0310317	0.00670443	0.0626149	0.62308	0.0161878	0.0200185	0.00672384	0.0139175	0.0165792	0.0156825	0.00779707	0.0211235	0.00932518	0.0131268	0.00816439	0.0138625	0.0335665	0.0585319	0.0356984	0.00301258	0.00465487	0.0124772	0.032191	0.00689271	0.0149237	0.0847223	0.00993471	0.00463138	0.0108738	0.0181009	0.0043793	0.0323513	0.0279688	0.0153834	0.00761957	0.00899664	0.030433	0.0197145	0.0203681	0.0285347	0.0102606	0.00261955	0.601053	0.00746662	0.00233092	0.0297748	0.0155492	0.0193564	0.0130573	0.00339906	0.00977825	0.0201401	0.0114403	0.00251225	0.0145335	0.078605	0.0232369	0.0325641	0.00434677	0.0191665	0.00134452	0.00264617	0.65575	0.0247064	0.00679671	0.00141252	0.048552	0.28915	0.20995	0.0957259	0.319846	0.0367767	0.374289	0.143203	0.106239	0.376269	8.729675
60	-449848.2	-449825.7	-22.47618	0.0306842	0.0358584	0.0707333	0.0408593	0.306607	0.0731724	0.0527538	0.0974121	0.133054	0.0497861	0.0471704	0.108932	0.0333367	0.0699138	0.0601479	0.0934985	0.0918552	0.0104977	0.0192765	0.0120621	0.040676	0.0105247	0.00771578	0.00801937	0.0525429	0.0266096	0.0463968	0.0496226	0.103763	0.0508285	0.037398	0.0662121	0.0386193	0.0520613	0.0494675	0.0522594	0.0515082	0.0680135	0.0447209	0.0597678	0.0943549	0.0727471	0.0888688	0.0514354	0.0605239	0.053476	0.043313	0.0061988	0.0347822	0.0352776	0.0355745	0.104778	0.0296706	0.0499622	0.0766654	0.0601804	0.0627539	0.0714119	0.0581659	0.119535	0.0523025	0.0724361	0.0560058	0.199597	0.078007	0.04671	0.0451549	0.00635683	0.0501401	0.0496037	0.0960555	0.0707003	0.0749364	0.0833163	0.0901299	0.137915	0.0222801	0.00386506	0.0422917	0.0138788	0.00870189	0.00661998	0.00656189	0.0305983	0.00861171	0.0544794	0.701826	0.0529942	0.0186465	0.00632067	0.0122892	0.0181955	0.0158604	0.0064166	0.0178219	0.00869703	0.0127948	0.0202428	0.0148141	0.0258726	0.0502527	0.0371304	0.0246037	0.014274	0.00664078	0.0328833	0.00859096	0.0125231	0.0826851	0.00582512	0.00779893	0.0105599	0.0171696	0.00807995	0.0225908	0.0238379	0.0099434	0.0118248	0.00717106	0.0107425	0.0273165	0.0238597	0.0293728	0.0318271	0.00186314	0.676311	0.00925082	0.00163055	0.0252892	0.0265961	0.0193564	0.0121565	0.01082	0.00905671	0.00629656	0.00878673	0.0047639	0.0141568	0.0188467	0.0860696	0.0270998	0.00764058	0.0198853	0.00215445	0.00269092	0.65575	0.0216667	0.0083645	0.00106379	0.051261	0.285974	0.231012	0.0552328	0.337692	0.0388287	0.371516	0.142142	0.11286	0.373481	8.099132
70	-442425.2	-442406.4	-18.8156	0.0331503	0.0379306	0.0707333	0.0394135	0.253645	0.0764223	0.0521071	0.0907079	0.049945	0.0497861	0.0522657	0.104561	0.0317122	0.0699138	0.0499751	0.0911438	0.08793	0.0114488	0.0191176	0.013738	0.038897	0.0102266	0.00771578	0.00801937	0.0494639	0.00934638	0.0463968	0.0496226	0.0634464	0.0483868	0.037398	0.0662121	0.0399299	0.0585359	0.038818	0.059203	0.0530866	0.0696506	0.0472836	0.0588827	0.093	0.0727471	0.0903585	0.0485099	0.0614951	0.053476	0.0469191	0.00266601	0.0385228	0.0376454	0.0311375	0.104778	0.0296706	0.0499649	0.0766654	0.051311	0.0601018	0.0598931	0.0581659	0.123358	0.0523025	0.0724361	0.0560058	0.131051	0.0888395	0.0399923	0.0452865	0.00359585	0.0641999	0.052049	0.0554689	0.0719154	0.0723706	0.0882788	0.0901299	0.137915	0.0211001	0.0043489	0.0422917	0.0138788	0.00674687	0.00551256	0.00823698	0.0205344	0.00809331	0.028282	0.669647	0.041741	0.0253387	0.00765592	0.0137005	0.014074	0.0151968	0.00432082	0.0179369	0.00911122	0.0150914	0.0263933	0.017684	0.0260108	0.0643475	0.0156383	0.0365172	0.0112107	0.0108779	0.0328833	0.0148563	0.0137715	0.0826851	0.00769305	0.0106119	0.00844112	0.0178577	0.00931424	0.0125447	0.0238379	0.00363872	0.0105135	0.00650955	0.00744662	0.00901009	0.0250621	0.0288202	0.0318271	0.00259749	0.64492	0.00849217	0.00923222	0.0209821	0.0199056	0.01817	0.0120631	0.0491137	0.00942651	0.00865091	0.0129476	0.00680368	0.0148528	0.0429114	0.086335	0.00899697	0.019881	0.0200376	0.00990039	0.00884855	0.65575	0.0198759	0.00475528	0.000389238	0.051261	0.285974	0.231012	0.0552328	0.337692	0.0388287	0.370824	0.141878	0.114512	0.372786	7.733074
80	-440058.6	-440043.7	-14.86264	0.032961	0.0379306	0.0707333	0.0328176	0.0993477	0.0764223	0.049198	0.0907079	0.049945	0.0497861	0.0522657	0.107659	0.0315739	0.0730924	0.0581971	0.0951518	0.0942365	0.0102722	0.0198251	0.0139071	0.0370455	0.0103738	0.00733364	0.0077124	0.0521491	0.00513253	0.0463493	0.0498782	0.0528053	0.0488025	0.036543	0.0654073	0.0399896	0.0502468	0.0371525	0.0543496	0.0559521	0.0696506	0.0429461	0.0519246	0.0827659	0.0727471	0.0787026	0.0485099	0.0614951	0.0520807	0.0469191	0.000931117	0.0393053	0.0376454	0.0315786	0.10073	0.0296706	0.0513832	0.0676839	0.0514766	0.0578018	0.0675567	0.0581659	0.14955	0.0480828	0.0710128	0.0533664	0.125862	0.0888395	0.0415503	0.0439622	0.00359585	0.0652488	0.0354754	0.00836066	0.0719154	0.0723706	0.090689	0.0904083	0.133857	0.0211001	0.00311203	0.0340015	0.0126207	0.00532206	0.010219	0.00669752	0.0126304	0.00791916	0.0231621	0.609802	0.0322663	0.0227838	0.00613917	0.0115504	0.0122888	0.0133033	0.0145145	0.0156261	0.00911122	0.0147911	0.0232313	0.0161692	0.0292624	0.0643475	0.0117894	0.0411146	0.0124557	0.0113053	0.0280477	0.0162059	0.010542	0.0668142	0.00732423	0.0106814	0.0097456	0.0177057	0.00817151	0.0141478	0.0179405	0.000992778	0.0101618	0.0112365	0.00448178	0.0086069	0.0197418	0.0269204	0.0318271	0.00149954	0.64492	0.0111512	0.0150111	0.0209821	0.0188663	0.0210543	0.0128134	0.0473886	0.00851689	0.0118809	0.0123889	0.00907424	0.0128846	0.0459679	0.0767791	0.00898872	0.0231586	0.0193299	0.0105805	0.0109708	0.637554	0.0212361	0.00555732	0.000220423	0.0502401	0.276383	0.247658	0.0541328	0.330966	0.0406195	0.366896	0.150969	0.113299	0.368836	7.337779
90	-439576	-439563.1	-12.93154	0.0332095	0.0398085	0.0726336	0.0347758	0.0532058	0.0825112	0.0560675	0.0907079	0.0676131	0.0497861	0.0522657	0.107659	0.0313508	0.0674804	0.0547532	0.0849492	0.0895385	0.0102722	0.0201462	0.0156917	0.0407071	0.00844001	0.0071008	0.00668653	0.0515091	0.000801017	0.0480966	0.0564524	0.0531034	0.0488025	0.036543	0.0672464	0.0381913	0.0461331	0.0371525	0.053808	0.0499493	0.0654817	0.0429461	0.0501622	0.0826065	0.0727471	0.0787026	0.047788	0.062565	0.0478997	0.046629	0.00148412	0.038505	0.0365177	0.0341068	0.10073	0.0337708	0.0513832	0.0676839	0.0532726	0.0506912	0.0675567	0.0581659	0.14955	0.0486747	0.0755573	0.0524043	0.127416	0.0888395	0.0410212	0.0463303	0.00215746	0.0543842	0.0423446	0.00212482	0.0776324	0.0698195	0.0852714	0.0904083	0.133857	0.020853	0.00319363	0.0312666	0.0128043	0.00459454	0.00902092	0.00668481	0.0304855	0.0074119	0.0232925	0.581671	0.0231253	0.0223935	0.00642616	0.0107074	0.0130428	0.0147142	0.0120097	0.0155859	0.00980604	0.013892	0.0252954	0.018102	0.0292624	0.0674559	0.0126429	0.0397266	0.0132409	0.0129987	0.0328755	0.0152795	0.0117531	0.044152	0.00760002	0.011209	0.00997631	0.016832	0.00816896	0.0101246	0.0232386	0.00233592	0.00916363	0.0101974	0.00321106	0.0116472	0.0177927	0.0269204	0.0336523	0.00233717	0.547884	0.00768108	0.0150111	0.0236339	0.0129085	0.0202887	0.0121865	0.0510504	0.00815345	0.015638	0.0122267	0.0113852	0.0115147	0.0459679	0.0680332	0.0144298	0.0452318	0.0220008	0.0119468	0.00778049	0.604258	0.0216839	0.00916265	9.9786e-05	0.04977	0.273797	0.245341	0.0536263	0.333314	0.0441518	0.366896	0.150969	0.113299	0.368836	7.144669
